ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
0,0,0,0,0,0
312,143,170,247,219,535
315,153,169,222,212,539
318,166,167,199,224,553
322,182,165,179,229,570
325,200,163,162,226,592
329,222,161,148,226,598
332,248,159,136,205,614
336,276,156,128,217,638
340,308,154,121,218,650
343,342,151,118,213,666
343,375,148,117,211,673
338,414,145,119,209,673
337,434,142,124,209,667
333,459,139,131,210,655
333,483,136,141,211,636
344,516,133,154,211,608
335,549,130,170,211,571
328,582,126,189,215,532
320,610,123,211,210,486
313,632,120,237,208,447
305,649,116,265,205,413
298,659,112,297,203,379
291,663,109,332,202,348
286,661,105,371,198,318
281,648,102,412,196,292
281,639,101,453,193,269
280,619,102,484,190,247
280,589,107,510,188,230
281,548,115,537,185,214
283,501,126,554,182,201
286,455,140,563,179,191
289,413,156,566,175,183
293,373,173,559,172,179
296,334,193,551,169,177
298,298,212,536,165,177
301,264,234,528,161,181
305,234,247,521,157,187
308,207,239,529,154,197
311,182,244,549,150,208
314,161,233,550,147,223
317,142,248,568,143,241
320,126,243,596,139,263
323,113,250,612,136,286
327,103,257,633,132,313
330,96,259,650,128,343
333,91,261,659,124,377
337,88,261,661,121,413
340,88,260,657,118,449
344,91,259,646,117,479
348,96,257,629,119,507
350,105,256,600,122,536
354,116,258,561,127,568
358,130,255,518,132,601
362,147,253,479,141,631
365,167,260,437,149,656
369,190,259,404,159,672
373,216,262,367,168,680
377,245,265,332,175,683
381,278,266,301,182,680
385,313,269,273,188,672
389,353,271,247,193,660
392,394,273,225,197,640
391,433,276,204,198,614
387,465,279,187,199,578
382,489,282,172,196,537
374,508,285,159,196,491
362,522,288,149,194,448
346,534,291,142,192,408
323,539,294,137,189,369
295,538,298,135,186,332
265,532,301,135,184,298
237,525,304,139,183,268
218,528,308,145,180,242
214,531,311,153,177,217
215,556,314,165,175,194
213,584,318,179,173,175
0,0,321,197,170,160
200,606,325,218,167,147
205,632,328,241,165,136
206,649,331,268,162,128
214,655,334,299,159,122
211,660,338,333,156,119
211,659,340,367,153,119
212,652,337,403,150,122
214,640,339,431,145,125
216,622,334,458,141,133
218,596,338,487,138,144
216,561,332,520,134,158
213,519,325,554,132,177
220,483,315,586,129,198
212,441,305,613,125,221
211,407,297,635,121,248
208,378,291,652,117,277
205,346,285,660,113,312
202,319,282,662,109,348
200,295,279,660,105,389
197,272,279,650,104,426
194,252,278,633,103,460
191,236,279,606,103,487
189,222,281,571,106,509
186,210,285,527,115,536
