ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
0,0,0,0,0,0,0,0,0,0
207,569,167,302,160,146,203,232,92,421
204,559,168,287,158,143,204,240,92,440
202,548,170,273,157,140,205,250,89,452
200,533,171,260,156,139,206,260,86,465
198,516,173,248,154,138,208,271,84,477
194,496,174,237,153,138,209,283,84,491
194,463,176,227,152,138,211,296,86,507
191,441,178,217,150,139,212,309,89,524
194,425,179,208,149,141,213,323,93,537
191,405,181,200,148,143,215,337,97,550
189,387,182,193,146,147,216,353,102,562
187,369,184,186,145,151,218,369,109,569
182,351,185,180,144,155,219,386,112,575
180,334,187,175,142,160,220,403,117,579
178,318,188,170,141,166,222,422,122,580
176,304,190,167,139,172,224,441,127,580
174,290,191,164,138,180,224,463,130,579
172,277,193,161,136,188,225,489,133,577
170,265,194,159,135,196,227,500,135,572
169,253,196,158,134,206,228,514,137,565
167,243,197,158,132,216,230,524,137,556
165,233,199,158,131,226,236,539,137,545
163,224,200,159,129,238,236,549,136,535
161,216,201,161,127,251,235,557,157,521
160,209,203,163,126,264,234,565,157,498
158,202,204,166,125,278,233,572,163,462
156,196,206,170,123,293,232,576,164,439
154,191,207,174,122,309,230,579,167,413
153,186,209,180,120,325,221,587,165,414
151,182,211,186,119,342,218,587,164,383
149,179,212,192,118,360,215,587,167,364
147,177,214,200,116,379,212,584,166,346
146,175,215,208,115,399,210,580,171,330
144,174,217,216,114,420,207,573,172,313
142,173,218,226,113,444,204,564,174,298
140,173,220,236,111,461,202,554,175,283
139,174,221,247,109,475,199,540,177,270
137,176,223,258,108,490,196,523,179,257
136,178,224,271,108,507,193,504,180,245
134,181,226,284,109,524,194,471,182,234
132,185,228,298,112,538,192,449,183,224
130,189,229,313,115,552,190,429,185,214
129,194,231,328,118,577,183,410,186,205
127,200,233,344,120,586,187,389,188,197
125,206,235,362,122,590,185,371,189,190
123,213,237,379,124,594,184,349,191,183
122,221,238,398,128,593,182,332,192,177
120,230,240,417,131,591,180,316,194,172
118,239,245,446,133,586,179,301,195,168
116,250,248,461,135,578,177,287,197,164
114,261,252,481,137,567,176,273,198,161
112,272,255,499,139,553,174,261,200,158
110,285,257,515,141,538,172,249,201,157
108,298,257,530,151,512,171,238,203,155
106,313,255,541,153,490,169,227,205,155
104,328,247,560,154,472,167,218,206,156
102,344,244,569,156,444,166,209,208,157
100,360,242,578,163,414,165,201,209,159
98,378,238,585,163,396,163,194,211,161
96,396,234,591,162,377,161,187,212,165
94,416,230,593,167,361,160,181,214,169
92,434,226,594,168,341,158,176,216,174
89,453,222,594,170,324,156,172,217,179
87,466,219,592,172,308,155,168,219,185
83,478,216,589,174,293,153,165,221,192
85,501,212,583,176,278,152,163,223,200
85,514,209,574,178,265,150,161,224,208
86,527,207,563,181,252,149,161,226,218
88,541,204,548,183,240,147,161,227,227
92,558,202,531,185,229,146,161,229,238
97,571,203,515,187,219,144,163,231,250
103,581,201,480,189,210,143,165,233,262
109,590,195,451,191,201,141,168,234,275
116,595,193,429,193,193,140,171,236,289
123,598,191,414,195,186,138,176,238,304
130,601,190,391,197,179,137,180,240,320
136,601,189,376,199,173,135,186,242,336
141,599,187,352,201,168,134,193,244,353
145,596,182,336,203,164,132,200,245,371
149,591,179,319,205,160,131,208,248,390
152,583,177,303,207,157,129,217,249,410
154,570,174,288,210,155,128,226,251,432
157,556,172,274,212,153,126,236,254,454
155,540,170,261,214,153,125,248,271,473
155,522,168,249,216,153,123,260,271,488
164,492,166,237,218,153,122,272,269,505
162,465,163,226,220,155,120,286,267,521
163,439,161,216,222,157,118,300,265,536
165,416,159,207,224,159,117,316,261,549
168,396,157,198,226,163,115,331,257,558
172,377,155,190,229,167,114,349,253,566
170,356,153,183,231,172,112,366,249,572
172,341,151,177,233,178,111,385,244,576
173,323,149,171,235,184,109,405,241,578
175,307,147,166,238,191,108,425,237,578
177,292,145,162,240,199,103,446,225,584
178,277,143,158,242,208,97,461,221,579
180,263,141,156,244,217,106,489,218,571
182,250,139,153,247,227,106,504,214,561
183,238,137,152,249,238,108,520,213,547
185,227,135,151,251,250,110,535,213,530
186,216,134,151,254,262,114,549,212,515
188,206,132,152,256,275,118,564,205,481
189,197,130,154,258,289,125,578,203,458
191,189,128,156,261,304,131,587,199,434
193,182,126,159,263,319,138,594,201,411
194,175,124,162,266,335,145,599,199,394
195,169,122,167,268,352,152,601,197,367
197,164,120,172,270,370,156,600,197,358
198,159,118,178,273,389,160,598,194,344
200,156,116,185,276,408,163,594,190,321
202,152,114,192,279,430,165,589,188,305
203,150,112,200,283,452,167,582,186,289
204,148,110,209,288,468,168,569,184,275
206,147,108,218,292,484,168,556,183,262
208,147,106,229,292,498,164,538,181,249
209,148,104,240,281,517,167,519,180,237
211,149,103,252,278,531,169,481,178,226
212,151,101,265,274,542,169,457,176,216
214,154,99,278,271,552,172,442,175,206
216,157,97,293,263,560,170,418,173,198
217,161,95,308,256,574,174,396,171,190
219,166,93,324,249,578,172,375,170,182
221,172,91,341,242,581,174,357,168,176
222,178,89,359,236,582,174,338,167,170
224,185,87,378,230,582,175,321,166,165
226,193,85,397,223,581,176,305,164,161
227,202,83,418,217,576,177,289,163,157
229,211,79,439,212,568,178,275,161,154
231,221,80,452,207,558,179,261,160,152
233,232,79,467,203,545,180,248,159,150
235,244,79,491,200,529,181,236,157,149
236,256,79,506,198,509,182,225,156,149
238,270,82,523,194,488,183,214,155,150
240,284,85,540,195,452,184,205,153,151
242,298,90,556,191,435,186,196,152,153
243,314,95,571,192,412,187,188,151,156
245,330,102,585,189,383,188,181,149,160
247,347,110,598,187,359,189,174,148,164
249,365,119,608,187,340,190,169,147,169
251,384,127,615,185,321,191,163,145,175
253,404,141,624,183,304,193,159,144,181
256,424,149,626,182,286,194,155,143,188
264,449,157,626,181,270,195,153,141,196
269,465,162,625,179,255,196,150,140,205
266,491,167,620,178,241,197,149,139,215
267,507,172,613,176,227,198,148,137,225
267,523,175,602,174,214,199,148,136,236
265,538,178,576,173,202,201,149,135,248
263,551,180,554,171,191,202,150,134,260
261,562,180,511,169,180,203,152,132,274
258,571,181,464,168,171,204,154,131,288
254,579,183,439,166,162,206,158,130,303
250,584,183,395,165,154,207,162,129,319
245,589,185,359,163,146,208,167,127,336
240,590,183,326,162,140,209,172,126,353
236,590,183,292,161,134,211,178,125,371
231,588,183,262,159,128,212,185,123,391
227,583,184,230,158,124,214,193,122,412
221,575,184,201,156,120,215,201,116,439
213,561,185,173,155,117,216,210,116,453
209,542,185,146,154,115,218,220,115,469
203,505,186,121,152,113,219,231,115,484
200,472,186,97,151,112,221,242,116,503
196,439,186,73,149,112,222,254,117,522
197,394,186,51,148,112,223,267,120,540
194,365,187,30,147,113,225,281,127,556
193,332,187,10,145,115,226,295,130,571
190,300,187,-5,144,118,228,310,134,583
188,274,350,671,142,121,229,326,139,592
187,244,348,670,141,125,231,342,144,598
185,370,349,670,140,130,232,359,147,602
185,370,349,670,139,135,234,377,148,604
185,370,348,671,137,142,235,396,149,612
178,145,348,671,136,149,237,416,148,607
176,122,348,671,134,156,239,436,170,597
174,100,348,670,133,164,241,454,171,575
172,79,349,670,132,173,242,473,171,552
171,59,349,670,130,183,242,484,165,525
169,40,349,670,128,194,243,493,173,470
167,22,349,670,127,205,242,500,173,440
166,3,351,670,126,218,241,504,171,393
356,674,349,670,125,231,238,507,176,359
356,673,350,670,123,245,236,511,174,318
357,673,351,670,122,259,234,513,174,282
356,673,350,670,120,275,232,515,175,249
357,674,350,670,119,291,230,516,175,217
357,674,351,670,117,308,226,517,175,188
357,674,351,670,116,327,223,518,176,158
358,674,351,670,115,345,217,519,176,131
359,674,352,670,114,369,210,521,176,105
356,674,360,670,111,375,202,523,176,80
356,674,360,670,110,382,192,525,177,56
356,674,361,670,111,393,180,527,177,33
356,674,360,670,114,404,164,529,177,12
356,674,361,670,116,415,142,530,345,668
356,674,361,670,121,423,122,528,344,668
355,673,360,670,126,431,104,519,344,668
355,674,359,670,130,438,95,508,343,667
355,674,360,670,134,445,97,487,343,668
356,674,360,670,136,448,109,473,344,668
356,674,361,670,139,448,123,466,343,667
356,674,361,670,133,448,356,675,343,667
354,674,360,670,360,675,354,674,345,668
354,674,359,670,359,674,354,674,345,668
356,674,360,670,361,674,355,674,344,667
356,674,361,670,362,674,356,674,345,668
356,674,361,670,361,674,356,674,344,668
356,674,361,670,361,674,356,674,344,668
356,674,361,670,361,674,356,674,344,668
356,674,361,670,361,674,356,674,344,668
356,674,360,670,361,674,355,674,345,667
356,674,360,670,361,674,355,674,345,667
356,675,360,670,360,675,356,675,345,667
356,674,360,670,360,675,208,533,345,667
357,675,361,670,360,675,206,543,345,667
357,674,361,670,211,458,210,554,343,667
357,674,361,670,212,458,211,564,343,667
356,674,361,670,217,460,210,571,342,667
355,674,359,670,220,462,210,575,344,667
357,674,360,670,222,464,217,583,344,667
357,674,361,670,222,463,215,583,343,668
357,674,360,670,220,466,214,580,343,668
357,673,361,670,217,470,212,574,343,668
357,674,361,670,211,476,213,565,343,668
357,674,361,670,203,482,213,554,343,668
357,674,360,670,195,490,214,539,343,667
357,674,231,9,183,500,213,521,343,668
357,674,232,27,172,509,218,489,340,668
357,674,233,45,160,520,215,466,340,669
358,674,234,65,151,530,219,446,340,668
358,674,236,85,141,548,212,415,340,668
358,674,237,106,139,556,210,385,340,668
358,674,238,128,135,563,207,361,340,668
82,14,240,151,132,570,206,339,340,668
80,30,241,175,131,573,204,319,340,668
79,47,243,199,133,577,202,297,340,668
77,65,244,223,135,577,200,276,340,668
76,84,245,252,138,574,199,257,340,668
74,103,247,279,142,570,197,239,341,668
73,123,248,310,145,563,196,221,340,668
71,144,248,334,148,552,194,205,341,668
70,166,249,359,149,537,193,189,341,667
68,189,250,388,154,522,191,174,341,668
66,213,251,418,156,499,190,160,341,668
65,237,250,451,157,469,188,146,341,668
63,261,257,480,158,440,186,134,341,668
62,288,254,492,161,420,185,122,340,668
60,315,257,505,167,396,183,111,340,668
58,342,252,517,162,373,181,100,340,668
56,370,247,527,163,346,180,91,340,668
54,400,242,537,163,332,178,82,340,668
52,430,238,545,163,312,177,73,340,668
56,467,235,552,165,294,175,66,340,668
53,482,233,558,166,276,174,59,340,668
50,494,231,563,167,259,172,53,340,668
49,505,229,567,168,243,171,47,340,668
46,507,228,570,169,228,169,42,340,668
47,517,226,570,170,213,168,38,223,13
49,526,224,567,171,200,166,34,226,31
52,536,223,559,172,187,165,31,227,49
56,545,221,548,172,175,163,29,228,70
61,555,220,533,173,163,162,27,229,90
67,563,217,517,174,152,161,26,230,111
73,572,217,489,175,142,159,26,231,134
80,580,214,472,176,133,158,26,232,156
87,586,212,445,177,124,156,27,233,181
94,592,209,420,178,117,155,28,234,205
101,597,206,399,179,109,154,30,236,229
107,600,204,379,180,103,152,33,237,262
112,602,202,359,181,97,151,36,238,290
117,604,200,341,182,91,149,40,240,320
121,604,197,323,183,87,148,45,244,347
126,604,195,306,185,83,147,50,245,378
130,602,192,289,186,79,145,56,247,410
133,601,190,273,187,77,144,63,246,440
136,597,187,258,188,75,142,70,247,467
139,591,184,244,189,74,141,78,244,483
141,583,182,230,190,73,140,87,245,498
147,566,179,217,192,73,138,96,240,509
148,551,177,205,193,74,137,106,236,519
147,534,174,194,194,75,136,117,235,528
151,515,172,183,195,77,134,128,232,551
149,480,169,173,197,79,133,140,227,558
151,457,167,163,198,82,132,153,224,565
155,442,165,154,199,86,130,167,220,571
155,418,162,146,201,91,129,181,217,576
154,394,160,139,202,96,127,197,214,578
158,374,157,132,204,102,126,213,211,580
162,360,155,126,205,109,125,229,208,582
161,338,152,120,206,116,123,247,205,581
162,321,150,116,208,124,121,266,204,580
163,305,148,111,209,132,120,285,203,576
165,289,145,108,211,142,118,306,201,570
167,275,143,105,213,152,117,327,198,565
168,261,141,103,214,163,115,348,197,554
170,248,138,101,216,174,114,370,196,540
171,236,136,101,218,187,112,394,198,523
172,225,134,100,219,200,113,416,184,498
174,214,131,101,221,213,108,443,181,479
175,204,129,103,223,228,98,459,178,449
177,195,126,105,225,244,103,489,176,427
178,187,124,108,227,260,101,502,183,410
180,179,121,111,229,278,102,516,180,390
181,172,119,116,231,296,104,531,179,372
183,166,116,121,233,315,106,546,177,355
184,161,114,127,234,335,109,558,176,339
185,156,111,134,236,356,111,569,175,323
187,152,109,141,238,377,115,578,173,308
188,148,106,150,239,400,117,583,172,295
190,146,103,159,241,423,119,582,171,281
191,144,101,169,241,449,120,579,169,269
193,142,98,180,244,470,122,570,168,257
194,142,96,192,240,485,124,558,167,247
196,142,93,205,251,500,125,536,165,237
197,143,90,218,250,511,127,522,164,227
199,144,87,233,248,523,135,502,163,219
201,146,85,249,245,534,140,473,161,211
202,149,82,265,242,543,142,450,160,204
204,153,79,283,241,551,146,424,159,198
205,157,77,302,239,558,146,408,158,192
207,162,74,322,235,563,151,385,156,187
209,168,70,343,228,576,156,366,155,183
210,174,68,365,223,578,158,351,154,180
212,181,65,388,219,579,161,332,152,177
214,189,62,413,215,577,163,315,151,175
215,198,53,442,211,573,166,300,150,173
217,207,48,455,208,567,169,286,149,173
219,217,48,467,205,556,173,272,147,173
221,228,54,489,203,542,176,259,146,174
222,240,57,506,201,526,178,247,145,175
224,253,60,518,198,505,181,236,143,177
226,266,64,530,194,478,184,226,142,180
228,281,68,541,191,456,187,216,141,183
229,296,74,555,191,431,190,208,140,187
231,312,82,571,188,410,192,200,138,192
233,328,92,571,186,390,195,192,137,198
235,345,100,579,184,371,198,186,136,204
236,363,107,585,182,352,200,180,135,211
238,382,114,589,181,335,203,175,133,219
240,402,121,592,179,319,206,170,132,228
243,423,127,593,177,303,208,167,131,237
253,445,134,595,175,288,211,164,129,247
255,459,137,590,173,274,214,162,128,257
257,473,138,588,171,262,216,160,126,269
253,490,138,577,170,250,219,159,125,281
252,502,139,566,168,238,222,159,124,294
250,515,140,547,166,228,224,160,122,307
247,528,142,531,165,218,227,162,121,321
244,538,147,509,163,209,230,164,120,336
241,547,147,486,161,201,232,167,118,353
235,565,149,453,159,194,235,170,117,369
234,573,150,430,157,187,238,175,115,387
230,579,151,419,156,181,241,180,114,405
226,581,156,384,154,175,244,185,113,425
222,584,153,359,152,171,247,192,112,445
223,581,158,339,151,167,250,199,110,461
220,577,160,319,149,164,252,207,112,471
218,570,161,301,147,161,255,216,111,480
214,557,163,283,145,160,258,225,112,493
212,544,165,266,144,159,261,235,113,505
210,527,167,250,142,158,264,246,114,516
212,512,168,234,141,159,267,257,116,525
205,473,170,219,139,160,269,270,117,533
201,450,171,206,137,162,272,283,115,564
199,428,173,193,136,165,275,296,118,577
196,407,175,180,134,168,278,311,122,587
196,389,176,169,132,172,281,327,125,594
193,369,179,159,131,177,284,343,127,597
191,351,180,149,129,182,287,360,129,599
188,333,182,140,127,188,290,378,131,599
186,317,184,132,125,195,293,396,134,597
184,301,186,124,124,202,296,415,137,593
181,286,187,118,122,210,299,435,139,586
179,272,189,111,120,219,305,459,141,577
177,258,191,106,118,229,310,475,142,562
175,246,193,102,117,239,308,489,143,544
172,234,195,98,115,250,305,504,153,520
170,223,197,95,113,262,301,515,153,495
168,213,199,93,111,274,297,527,156,476
166,204,201,91,109,287,291,538,161,444
163,195,203,90,108,301,281,554,163,421
161,187,205,90,106,316,274,564,167,404
159,180,206,91,104,332,265,573,166,371
157,174,208,93,102,348,256,581,168,352
154,168,211,95,100,365,248,586,168,333
152,163,213,98,98,383,243,592,169,313
150,159,215,102,96,402,236,594,172,295
147,155,217,106,94,421,230,592,174,277
145,153,219,112,95,443,224,588,176,260
143,151,221,118,94,455,217,577,178,244
141,150,223,125,92,468,212,565,181,229
139,149,226,133,91,481,207,549,183,214
137,149,228,142,92,494,208,516,185,201
134,150,231,152,92,516,206,492,187,188
132,151,233,162,93,530,197,464,190,176
130,154,235,174,95,547,194,439,192,165
128,157,238,186,100,563,195,421,194,155
125,160,241,200,106,576,193,399,196,145
123,165,243,214,113,586,188,374,198,136
121,170,246,229,119,592,184,348,200,128
118,176,248,246,125,597,182,334,202,120
116,183,250,263,129,597,179,315,204,114
114,190,253,282,133,596,176,297,205,108
112,198,256,302,136,592,174,280,208,102
109,207,258,322,138,586,171,264,210,98
107,217,261,343,139,577,169,249,212,94
105,227,263,365,140,569,166,235,214,91
102,238,266,389,141,552,164,222,216,88
100,251,269,415,141,534,161,210,219,87
97,263,270,429,149,507,159,198,221,86
94,277,270,451,150,472,156,188,223,85
92,291,269,464,152,454,154,178,225,86
89,307,267,477,153,430,151,169,227,87
87,323,265,490,156,408,149,160,230,89
84,340,262,503,166,386,146,153,232,91
81,357,259,517,163,362,144,147,234,95
79,376,254,531,165,339,142,141,237,98
76,396,249,540,167,320,139,136,239,103
73,417,243,552,169,302,137,131,241,109
72,440,240,562,171,285,134,127,244,115
77,467,235,570,173,269,132,124,246,122
