ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
0,0,0,0,0,0,0,0,0,0
150,610,152,624,255,614,243,607,135,610
149,607,151,620,254,609,242,602,134,606
148,603,150,618,253,605,241,598,134,603
147,601,149,615,253,602,241,594,132,601
146,599,148,613,252,599,240,592,131,600
145,597,147,611,252,597,240,590,130,598
145,596,147,610,252,596,240,589,130,596
146,594,148,608,251,596,239,588,131,595
146,592,148,606,251,596,239,588,131,593
147,590,149,604,250,597,238,589,132,591
147,587,149,601,249,598,237,591,133,587
148,583,148,597,249,601,237,594,134,581
149,579,148,592,248,605,236,597,135,575
147,574,146,586,247,608,235,599,134,569
146,566,144,579,246,613,235,603,133,561
143,559,141,570,246,617,233,607,130,553
141,552,136,560,244,621,232,610,126,545
137,546,131,553,243,623,231,612,121,537
131,541,124,547,242,623,231,612,115,531
123,538,117,546,241,621,230,610,110,530
116,542,109,550,240,614,230,604,103,533
108,550,102,559,240,601,229,594,97,541
102,563,96,573,239,583,229,586,91,554
96,580,91,591,238,561,228,565,85,572
92,601,88,612,235,542,228,545,82,594
92,623,87,635,234,522,228,526,81,617
94,645,90,656,234,508,227,512,83,639
98,664,95,674,235,499,227,503,87,659
111,666,103,687,235,496,227,501,94,674
119,673,113,694,236,500,228,505,104,683
130,674,124,697,238,511,230,517,115,686
142,672,136,695,250,532,232,536,127,684
154,664,149,688,244,554,238,567,138,675
166,652,161,675,245,585,240,598,152,660
171,631,173,649,250,619,241,622,165,630
173,598,182,601,253,648,241,638,170,581
171,547,184,549,252,665,241,653,175,522
173,508,184,501,251,674,240,659,182,463
171,476,178,469,249,676,238,660,184,410
162,466,169,458,244,673,234,656,189,361
155,472,163,464,237,666,228,649,191,316
153,492,158,486,228,651,219,641,196,273
147,530,151,523,221,618,217,620,200,234
142,562,148,565,217,572,214,576,204,200
145,596,144,605,211,512,207,535,209,170
144,627,139,641,206,458,212,503,213,143
143,648,139,665,200,405,218,487,217,120
145,655,142,673,195,357,229,490,220,102
149,652,147,670,191,315,237,507,223,86
156,642,153,657,187,278,244,537,227,77
162,618,159,631,184,242,249,575,230,70
163,582,166,588,181,211,253,614,234,68
167,532,171,537,178,183,261,639,237,69
166,504,177,476,175,159,253,653,240,74
159,490,180,422,171,140,243,655,244,83
148,490,188,372,167,124,233,648,247,95
152,509,193,335,163,111,225,632,251,111
143,547,196,294,159,103,218,598,255,131
144,563,199,259,155,98,213,548,258,154
139,594,202,227,151,98,210,496,262,180
132,637,207,200,146,101,209,442,264,211
132,661,211,177,142,108,205,388,266,249
138,667,216,157,137,119,202,342,269,288
145,660,221,141,132,135,201,300,271,329
153,641,226,130,127,154,196,262,275,372
