ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
0,0,0,0,0,0,0,0,0,0
128,440,181,390,189,124,224,471,249,317
129,416,174,399,190,124,221,455,251,335
131,394,176,407,191,125,220,452,253,354
133,372,175,418,193,127,218,431,256,376
135,352,175,431,194,129,215,419,258,399
138,333,176,446,196,132,213,409,260,422
140,314,174,455,197,135,211,399,263,446
142,297,168,475,199,139,209,390,266,471
144,281,168,480,201,144,207,382,269,489
146,265,171,494,203,149,205,374,271,506
148,250,172,506,204,155,203,368,271,518
150,236,173,518,206,161,201,362,269,533
152,223,174,533,208,169,199,356,269,551
154,211,175,549,209,176,197,352,265,561
155,199,170,569,211,185,195,348,262,572
157,188,173,578,213,194,193,344,258,580
159,178,171,590,215,204,191,342,254,586
161,168,168,601,217,215,189,340,252,597
163,159,157,612,219,226,187,339,247,597
165,151,151,614,221,238,185,338,243,596
167,143,145,614,223,251,184,338,239,591
169,136,138,611,225,265,182,339,235,582
171,130,132,605,227,280,180,341,233,573
173,124,127,595,229,295,178,343,229,560
175,119,123,583,231,312,177,346,227,543
176,114,120,565,234,329,175,350,225,526
178,110,119,546,236,348,173,354,215,511
180,107,114,520,239,367,172,359,215,495
182,104,115,494,241,387,170,365,214,483
184,102,119,462,244,407,168,372,213,469
186,100,124,434,246,429,166,379,212,454
188,99,126,411,249,452,165,387,211,443
190,98,128,389,255,482,163,395,207,430
193,98,130,369,265,509,162,405,205,419
195,99,132,348,267,519,162,416,203,409
197,100,134,330,257,527,161,426,201,400
199,102,136,311,264,542,159,438,199,391
201,104,138,294,262,551,156,450,197,383
206,111,142,261,258,573,149,479,193,370
208,115,144,247,256,582,148,490,191,364
210,119,147,233,253,592,148,502,189,360
213,125,149,220,249,600,149,515,187,355
215,131,150,207,249,597,152,529,186,352
218,137,152,196,246,601,154,540,184,349
220,145,155,185,243,604,157,565,182,347
223,153,156,175,241,605,157,580,180,345
226,162,158,165,238,605,157,595,179,345
228,171,160,156,235,602,156,606,177,345
231,181,162,148,233,596,153,611,175,346
234,192,164,140,230,588,149,613,174,347
237,204,166,133,229,578,140,616,172,349
240,217,168,127,227,564,138,613,170,352
243,231,170,121,223,546,132,600,169,356
246,245,172,116,221,528,126,583,167,360
249,260,173,112,220,510,122,563,165,365
252,277,175,108,221,497,114,533,164,371
255,293,177,104,209,484,115,508,162,378
259,312,179,101,210,460,119,482,160,385
262,331,181,99,209,445,124,453,159,393
266,352,183,97,207,433,126,429,157,402
270,373,185,96,206,419,129,406,155,411
274,397,187,96,204,408,136,386,154,422
278,422,189,96,202,397,138,365,152,433
282,447,191,96,200,386,140,345,150,445
296,500,193,97,198,377,143,326,149,458
290,493,195,99,197,368,146,308,148,470
297,514,197,102,195,360,148,291,146,485
297,528,200,104,194,353,151,275,144,503
295,540,202,108,192,346,153,260,144,514
292,552,204,112,190,340,156,246,145,527
289,564,206,116,189,335,158,233,147,540
285,575,209,122,187,331,160,221,148,549
279,585,211,127,186,327,163,209,150,565
273,594,213,134,184,324,165,198,151,580
268,602,216,141,183,322,167,188,152,593
262,609,218,149,181,320,169,178,153,605
262,609,221,157,180,319,171,170,154,615
257,612,223,166,178,319,174,161,153,621
253,614,226,176,177,320,176,154,152,626
250,614,228,187,176,321,178,147,148,628
247,612,231,198,174,322,180,141,145,630
244,607,234,210,173,325,182,136,140,627
242,601,237,222,171,328,185,131,134,621
243,598,240,236,170,332,187,126,128,612
234,573,242,250,169,336,189,123,120,594
232,558,245,266,167,342,191,119,115,579
230,539,248,282,166,348,193,117,112,561
229,522,251,299,164,354,196,115,112,541
230,503,254,317,163,362,198,113,110,507
228,488,257,336,162,370,200,112,111,482
227,472,261,356,160,378,202,111,118,450
224,463,264,376,159,388,205,112,120,426
222,450,268,397,157,398,207,112,123,403
222,439,272,419,156,410,209,113,125,381
220,427,276,442,155,421,212,115,128,360
219,416,279,466,154,434,214,117,131,340
217,405,292,486,152,448,216,120,134,320
216,396,285,509,152,463,219,123,136,302
214,387,287,520,151,477,221,127,139,284
213,379,287,532,150,495,223,131,141,268
212,372,284,543,151,507,226,136,144,252
211,366,281,553,153,519,228,142,147,237
209,360,279,561,152,528,231,148,149,223
208,355,275,570,153,540,233,154,152,209
207,350,272,578,157,564,236,162,154,197
206,347,269,585,157,576,239,169,157,185
205,344,265,590,158,590,241,178,159,174
203,342,261,594,159,603,244,187,162,164
202,340,257,595,159,612,247,196,164,154
201,339,255,595,158,618,250,206,167,145
200,339,252,593,156,621,252,217,169,137
199,339,250,589,154,620,255,229,171,129
198,341,248,582,151,618,258,241,174,122
197,342,247,574,148,612,261,254,176,116
196,345,241,566,145,605,264,267,179,109
195,348,240,545,140,590,267,281,181,105
194,352,236,524,137,574,270,297,183,100
193,356,233,515,132,549,273,312,186,96
192,362,233,499,132,526,276,329,188,92
191,368,230,485,138,508,280,346,191,89
190,375,225,465,139,471,283,365,193,87
189,393,225,451,144,452,287,383,196,85
190,393,220,438,146,428,291,403,198,84
187,394,218,426,148,406,295,424,201,84
186,406,215,414,151,384,299,445,204,84
186,416,213,403,153,365,297,471,206,84
183,428,211,392,156,346,300,484,209,86
180,440,208,383,159,328,302,497,212,88
182,457,206,374,161,311,303,509,214,90
181,472,204,366,164,295,302,521,217,93
181,485,201,359,166,279,300,534,220,97
179,495,199,352,169,265,295,556,223,101
179,514,197,346,171,251,291,567,226,106
178,524,195,340,174,239,286,579,229,111
179,535,193,336,176,226,282,588,232,117
181,547,191,332,178,215,276,596,235,124
182,563,189,329,181,205,271,601,238,132
182,578,187,326,183,195,266,604,242,140
181,592,185,324,185,186,261,605,245,149
180,606,183,323,188,178,265,600,248,158
179,617,181,323,190,170,262,596,252,169
176,625,179,323,192,163,260,589,255,180
172,631,177,324,195,156,259,579,259,192
167,634,175,325,197,150,249,555,262,204
160,632,173,327,199,145,250,536,266,218
153,628,171,330,202,141,252,515,270,233
144,619,169,334,204,137,247,505,274,248
136,608,168,339,207,133,247,487,278,265
130,592,166,344,209,130,242,471,282,282
124,572,164,350,211,128,242,456,286,300
122,552,162,357,214,126,242,447,290,319
123,529,160,364,216,125,241,434,294,340
125,505,158,372,219,125,239,421,299,361
128,462,156,381,221,125,238,409,304,382
128,446,154,391,224,126,236,398,308,406
