ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
0,0,0,0,0,0,0,0,0,0
112,346,104,344,196,361,184,357,121,344
111,345,103,343,196,361,184,357,120,343
111,344,103,342,196,361,183,357,120,342
111,344,103,342,195,361,183,357,120,341
110,343,102,341,195,361,183,357,119,340
109,341,101,339,195,361,183,357,118,339
109,340,101,338,195,362,183,357,118,338
108,339,101,336,195,362,183,358,117,337
108,338,100,335,195,362,182,358,117,335
107,336,99,333,195,363,182,359,116,334
106,335,98,333,194,364,182,360,116,332
105,333,97,331,194,364,182,360,115,330
104,331,97,329,194,365,182,360,114,329
104,330,96,327,194,365,182,360,113,327
103,327,95,325,194,365,181,361,112,326
102,326,94,324,194,366,181,361,112,324
101,325,93,322,194,366,181,361,111,322
100,323,92,320,194,366,181,362,109,321
99,321,92,318,193,367,181,362,109,318
98,320,91,317,193,367,180,363,108,317
97,318,89,316,193,368,180,363,107,316
95,316,88,313,193,368,180,363,105,315
95,315,87,313,193,368,180,363,104,313
93,314,86,311,193,368,180,364,103,313
91,313,84,310,193,368,180,363,102,311
91,312,83,309,193,368,180,363,100,310
89,312,83,309,193,367,180,362,99,310
87,311,80,309,193,366,180,361,98,310
86,311,79,309,193,364,181,359,96,310
83,312,78,309,194,362,181,358,95,311
82,313,76,310,194,360,181,355,93,312
81,314,75,312,194,357,182,353,91,314
79,317,74,313,195,353,183,350,91,316
78,319,72,315,196,349,184,347,89,319
77,323,72,319,197,344,185,343,87,323
76,327,72,323,198,339,186,338,86,327
76,332,72,327,199,334,187,334,86,332
76,338,72,333,199,329,190,329,86,338
76,344,65,336,201,324,189,332,88,343
77,351,74,345,202,318,190,327,89,348
78,357,78,352,202,313,191,324,91,355
81,364,71,360,203,309,193,321,92,361
86,366,76,364,206,304,197,313,95,367
87,371,78,370,207,300,197,309,98,372
85,376,82,376,208,297,199,306,100,382
104,380,86,381,208,295,200,304,104,389
107,385,90,387,208,293,200,303,108,394
111,388,94,392,208,293,201,303,112,399
110,392,97,396,207,293,200,303,116,403
113,393,102,398,207,295,201,305,120,406
117,393,106,398,207,298,199,307,123,406
120,391,110,395,206,301,193,317,127,403
119,386,124,385,206,306,192,321,131,397
130,379,116,385,205,312,191,325,135,387
132,368,119,373,203,318,189,330,139,374
124,357,122,358,202,325,188,336,143,359
125,341,123,342,201,333,186,343,145,342
128,324,126,326,199,342,183,350,147,326
129,307,127,310,198,350,182,356,149,310
130,293,127,294,195,358,179,363,150,294
130,280,127,282,193,365,178,369,153,279
128,270,127,272,191,371,176,374,155,270
128,263,126,264,189,377,174,379,154,258
131,276,124,260,187,379,171,381,153,237
125,270,123,259,185,381,170,382,154,225
123,270,122,259,184,379,174,375,156,214
121,274,120,263,181,374,172,370,157,202
120,280,120,268,179,365,169,362,159,191
118,289,121,276,176,354,167,352,160,181
118,299,121,286,175,342,167,339,161,171
117,312,119,299,173,326,166,325,162,162
115,326,117,312,167,308,165,308,164,154
126,327,115,330,166,291,164,293,165,146
126,338,115,343,164,276,163,277,166,138
127,348,114,355,164,261,166,289,167,132
129,357,116,366,163,248,168,281,169,125
130,363,117,374,159,234,171,276,170,119
131,368,119,377,159,222,173,274,171,114
135,370,122,379,157,211,174,275,173,109
137,368,125,376,156,199,178,278,174,105
139,363,128,370,155,189,180,283,175,101
140,354,130,361,154,178,180,290,176,98
142,344,133,348,153,168,180,299,178,96
142,332,135,333,152,158,177,308,179,94
141,326,137,318,151,150,177,316,180,92
141,311,138,302,150,142,177,325,182,91
138,298,139,288,149,134,176,335,183,90
138,285,140,274,149,127,180,339,184,90
138,286,142,260,148,120,179,349,186,91
134,280,144,247,145,114,179,358,187,92
132,276,146,234,145,109,178,366,188,94
128,269,146,222,144,104,179,372,189,96
123,272,148,210,143,100,177,375,191,98
120,274,150,199,142,96,176,375,192,102
111,270,153,188,140,93,175,371,193,105
106,292,153,180,140,90,173,363,195,110
122,293,154,171,138,88,170,353,196,115
120,302,155,162,137,86,167,339,197,120
120,311,157,154,136,85,165,324,198,126
120,320,159,146,135,84,164,309,200,133
120,329,159,138,134,84,161,293,201,140
118,339,162,132,133,84,162,278,202,148
118,348,163,126,132,85,161,266,204,156
117,357,164,120,132,87,159,253,206,165
117,366,166,116,131,88,157,235,206,174
114,373,167,111,129,90,157,222,208,184
115,380,168,107,128,93,156,210,210,195
117,385,170,104,127,97,155,198,211,206
124,378,171,101,126,101,154,186,212,218
125,376,172,98,125,105,152,176,213,230
128,374,174,96,124,110,151,166,215,243
130,367,176,96,123,115,151,157,216,258
132,357,176,95,122,121,150,148,217,269
135,346,178,94,121,128,149,139,216,281
138,332,179,95,120,134,148,131,215,293
140,317,180,95,118,142,147,124,214,304
143,302,181,97,117,150,146,117,211,315
144,286,183,99,116,159,145,111,208,325
147,271,184,102,115,169,144,106,204,336
149,257,185,105,114,178,143,101,200,346
150,241,187,108,112,189,142,96,197,355
153,231,189,113,112,200,141,92,193,361
154,218,189,117,110,211,140,88,190,367
156,207,191,123,108,223,139,85,188,368
158,195,193,128,108,236,138,83,185,365
160,184,194,134,107,249,137,81,183,358
161,174,196,142,105,263,136,79,179,347
163,164,197,149,103,275,135,79,177,334
165,155,198,157,100,285,134,78,175,319
166,147,200,165,100,295,134,79,174,303
168,138,202,175,101,304,132,79,172,287
170,131,203,185,101,313,131,80,172,273
171,124,205,196,102,322,130,82,171,260
173,117,206,206,103,331,129,84,170,247
175,111,208,218,105,341,128,87,168,234
176,105,210,230,106,350,127,91,167,221
178,101,211,243,109,358,126,95,166,210
179,96,213,256,112,364,125,99,165,199
181,92,215,270,114,369,124,104,163,188
183,89,216,279,123,377,122,109,162,178
184,85,217,290,126,375,122,115,161,168
186,84,216,299,129,369,121,121,160,159
188,81,215,308,132,360,120,128,159,151
189,80,211,316,135,349,118,136,158,143
191,80,209,325,137,336,117,144,157,135
193,80,205,333,139,322,117,152,155,129
194,80,201,341,141,307,116,161,154,123
196,81,198,349,143,294,114,171,153,117
197,82,193,356,144,279,113,181,152,112
199,84,189,362,146,266,112,192,151,107
200,86,187,368,148,253,111,204,149,103
203,90,184,372,149,241,110,215,149,99
205,94,181,374,151,229,109,228,148,97
207,98,179,374,152,219,108,240,146,94
208,102,177,371,153,208,107,254,145,92
210,107,175,366,155,198,106,268,144,90
211,112,173,358,156,188,105,282,142,90
212,118,171,348,158,179,104,294,141,90
215,125,170,334,159,171,104,302,140,90
216,132,168,320,160,163,103,310,139,90
217,139,166,304,162,156,102,317,137,92
219,148,166,290,164,149,103,326,136,93
220,156,163,276,165,143,103,335,136,96
222,166,162,261,166,137,105,345,135,99
224,175,161,249,168,132,108,355,133,102
225,185,159,235,169,127,110,364,132,106
227,196,159,225,171,123,112,372,131,111
228,208,164,209,172,119,115,377,129,115
229,220,164,200,175,116,118,381,128,120
232,233,159,188,175,113,120,381,127,126
233,246,157,178,177,111,122,376,126,133
235,259,158,170,178,110,125,368,124,140
236,272,157,160,179,109,129,357,123,148
236,281,156,152,182,108,131,343,122,156
235,289,154,144,183,108,134,329,120,164
234,298,153,137,184,109,135,314,119,174
230,308,152,130,185,110,137,300,118,183
227,319,151,124,187,112,137,285,117,194
