ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
0,0,0,0,0,0,0,0,0,0
193,267,223,839,269,392,297,164,322,629
187,306,235,796,263,343,302,158,324,700
184,351,232,721,257,300,306,159,331,769
180,398,240,640,251,263,312,165,339,805
170,462,246,559,245,231,317,176,330,843
163,531,250,490,239,204,323,192,329,856
161,592,257,432,234,184,329,214,323,857
158,685,258,382,228,169,335,241,318,841
159,748,263,333,222,159,341,273,326,807
162,807,265,290,217,155,347,310,317,744
172,858,272,253,211,157,352,354,307,655
187,878,278,222,205,165,358,405,299,587
200,886,281,197,199,178,368,464,296,521
220,879,287,178,193,198,377,523,288,458
232,862,292,164,187,223,381,591,282,406
248,832,297,156,182,254,384,661,281,355
254,772,303,155,176,291,393,745,275,311
252,685,310,158,171,335,388,786,270,273
257,614,316,167,166,385,381,819,265,241
261,540,323,182,161,441,371,860,260,215
263,474,330,203,158,504,357,870,254,194
266,414,337,229,155,584,349,862,249,178
268,362,347,261,146,654,340,829,244,168
271,316,356,299,148,717,327,783,239,163
275,276,364,344,153,784,324,709,233,164
277,242,374,393,173,834,316,634,228,169
280,214,380,443,192,870,311,557,223,180
283,192,388,505,223,894,303,497,218,196
286,175,394,575,248,894,296,439,213,217
290,164,412,656,262,879,289,386,207,244
294,158,423,714,278,850,283,339,202,277
298,159,424,747,276,799,278,298,197,315
302,164,418,770,279,719,272,264,181,355
306,176,410,781,283,643,267,235,176,406
311,192,403,783,288,557,261,212,172,463
315,215,394,772,288,495,256,195,171,527
320,242,392,730,286,433,250,183,165,592
325,274,385,704,282,379,244,177,159,663
329,312,379,681,283,331,239,176,159,713
290,291,373,658,285,288,234,181,167,774
339,407,370,647,286,253,229,192,189,820
343,459,365,645,288,222,224,208,210,850
344,518,362,651,289,198,220,229,234,864
355,579,361,665,291,179,215,256,254,854
363,651,363,687,293,166,211,289,263,830
365,705,362,715,296,159,206,327,279,793
367,740,366,739,297,157,201,370,275,729
366,777,365,771,300,161,196,420,260,655
364,819,361,802,301,170,195,476,258,597
355,847,352,836,304,185,190,539,250,542
352,856,349,837,306,206,187,605,247,495
338,853,339,835,309,233,178,681,240,455
328,827,320,813,312,264,181,737,231,420
310,774,313,773,316,302,182,778,224,389
304,705,304,724,319,346,182,832,217,362
