ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
0,0,0,0,0,0,0,0,0,0
426,474,430,474,462,473,463,475,425,463
426,473,430,473,462,472,463,474,425,462
426,473,430,473,462,472,463,474,425,462
426,473,430,473,462,472,463,474,425,462
426,473,430,473,462,472,463,474,425,462
426,473,430,473,463,472,464,474,425,462
426,473,431,473,463,472,464,474,425,461
427,473,431,473,463,472,464,474,426,461
427,473,431,472,463,472,464,474,426,461
427,473,431,472,464,472,464,474,426,461
427,472,431,472,464,472,464,474,426,461
428,472,432,472,464,472,465,474,426,461
428,472,432,472,464,471,465,474,427,461
428,472,432,472,464,471,465,474,427,461
428,472,433,472,464,472,465,474,427,460
429,472,433,472,465,471,466,474,427,461
429,472,433,472,465,471,466,474,428,460
429,472,433,472,465,471,466,473,428,460
429,471,434,471,465,471,466,474,428,460
430,471,434,472,466,471,467,474,428,460
430,471,434,472,466,471,467,474,429,460
431,471,434,471,467,471,467,473,429,460
431,471,434,471,467,471,467,473,429,460
431,471,435,471,467,471,467,473,430,460
431,471,436,471,467,471,468,473,430,460
431,471,436,471,468,471,468,473,430,460
432,471,436,471,468,471,469,473,431,460
433,471,437,471,468,471,469,473,431,460
433,471,437,471,468,471,469,473,431,460
433,471,437,471,468,470,469,473,431,460
434,471,438,471,469,470,470,473,432,460
434,471,438,471,469,470,470,473,432,460
434,471,438,471,469,470,470,473,432,460
435,471,439,471,470,470,471,473,433,460
435,471,439,471,470,470,471,473,433,460
435,471,439,471,471,470,472,473,434,460
436,471,440,471,471,470,472,473,434,460
436,471,440,471,471,470,472,473,434,460
436,471,440,471,471,470,472,473,434,460
436,471,441,471,472,470,473,473,434,460
437,471,441,471,472,470,473,473,435,459
437,471,441,471,472,470,473,473,435,459
437,471,442,471,473,471,474,473,436,459
437,471,442,471,473,471,474,473,436,459
437,471,442,471,473,471,474,473,436,459
438,471,442,471,473,471,475,473,436,459
438,471,442,471,474,471,475,473,437,459
438,471,442,471,474,471,475,473,437,459
439,471,443,471,474,471,476,473,437,459
439,471,443,471,474,471,476,473,437,459
439,471,443,471,474,471,476,473,437,459
439,470,443,470,475,471,476,473,437,459
439,470,443,470,475,471,476,473,438,459
439,470,443,470,475,471,476,473,438,459
439,470,443,470,476,471,477,473,438,459
439,470,443,470,476,471,477,473,438,459
439,470,443,470,476,471,477,473,438,458
439,470,443,470,477,471,477,473,438,458
439,470,443,470,477,471,477,473,438,458
440,470,443,470,477,471,478,473,438,458
440,469,444,469,477,471,478,473,438,458
440,469,444,469,477,471,478,473,438,458
440,469,444,469,477,471,478,473,438,458
440,469,444,469,477,471,478,473,438,458
440,469,444,469,478,470,478,473,438,458
440,469,444,469,478,470,479,473,438,457
440,469,444,469,478,470,479,473,438,457
440,468,444,468,478,470,479,472,438,457
440,468,444,468,478,470,479,472,438,457
440,468,444,468,478,470,479,472,438,456
440,468,444,468,478,469,479,472,438,456
440,468,444,467,478,469,479,472,438,456
440,467,444,467,478,469,479,471,438,456
440,467,444,467,478,469,479,471,438,456
440,467,444,467,478,469,479,471,438,456
440,467,444,467,478,469,479,471,438,455
439,467,444,467,478,469,479,471,438,455
439,466,444,466,478,469,479,471,438,455
439,466,443,466,478,469,479,471,438,455
439,466,443,466,478,469,479,471,438,455
439,466,443,466,478,469,479,471,438,455
439,467,443,466,478,468,479,471,438,455
439,467,443,466,478,468,479,471,438,455
439,467,443,467,478,468,479,470,438,455
439,467,443,467,478,468,479,470,438,455
439,467,443,467,478,468,479,470,438,455
438,467,442,467,477,467,478,470,438,456
438,468,442,468,478,467,479,470,438,456
438,468,442,468,478,467,479,469,438,456
438,469,442,469,477,467,478,469,438,457
438,470,442,470,477,467,478,469,438,458
438,471,442,471,477,467,478,469,438,458
438,471,442,471,477,467,478,469,438,459
438,472,442,472,477,467,478,469,437,460
438,473,442,473,477,467,478,469,437,461
437,474,442,474,476,467,478,469,437,462
437,476,441,476,476,467,478,469,437,463
437,476,441,476,476,467,478,469,437,464
437,478,441,478,476,467,478,469,437,466
437,479,441,479,476,467,477,469,437,467
437,481,441,481,476,468,477,470,437,469
437,483,441,483,475,468,477,470,437,471
437,485,441,485,475,468,477,470,437,472
437,486,441,486,475,468,477,470,437,474
437,488,441,488,475,468,477,470,437,476
437,490,440,490,475,469,476,471,437,478
437,492,440,492,475,469,476,471,437,480
437,494,440,494,475,469,476,471,437,482
436,497,440,497,475,469,476,472,437,484
436,499,440,499,475,470,476,472,437,486
436,501,440,501,475,470,476,472,437,489
436,504,440,504,475,470,476,472,437,491
436,506,440,506,475,470,476,473,437,494
437,509,440,508,475,470,476,473,437,496
436,511,440,511,474,471,476,473,437,499
437,514,440,514,474,471,476,473,437,501
437,516,440,516,474,471,476,473,437,504
437,519,440,519,475,471,476,473,437,506
439,511,440,520,475,471,477,473,437,508
439,513,440,523,475,471,477,473,437,511
438,516,440,525,475,472,477,474,438,513
438,518,440,527,475,472,477,474,438,515
438,520,440,529,476,472,477,474,439,517
439,522,440,531,476,472,477,474,439,519
438,524,440,533,476,472,477,474,439,521
438,525,440,534,476,472,478,474,438,523
438,527,441,535,476,472,478,474,438,524
438,528,441,536,476,472,478,474,438,525
439,529,442,537,477,472,478,474,439,527
439,530,442,538,477,472,478,474,439,527
440,530,443,538,477,471,478,474,440,528
441,531,443,538,477,471,478,474,441,528
441,531,444,539,477,471,479,473,441,528
442,531,445,539,477,471,479,473,442,528
443,530,446,538,477,470,479,472,443,528
444,530,447,537,478,470,479,472,444,527
445,529,448,537,478,469,479,471,445,526
446,527,449,535,478,468,479,470,446,525
448,525,450,534,478,467,480,470,448,523
448,524,452,532,478,467,480,469,449,521
450,521,453,530,478,466,480,468,450,519
452,519,454,527,478,465,480,467,451,517
454,515,456,524,479,464,481,466,452,513
455,512,458,521,479,463,481,465,453,510
457,507,459,517,480,461,481,463,454,506
458,503,460,513,480,460,481,462,456,501
459,498,462,507,480,459,481,461,457,496
460,492,463,502,480,458,481,459,458,490
461,485,465,495,480,456,481,458,460,483
462,478,466,488,480,455,482,457,461,476
464,470,468,480,480,453,482,455,462,468
464,461,469,471,480,452,482,454,462,459
465,452,469,462,480,450,482,452,462,451
462,452,469,454,481,449,482,450,463,442
461,443,469,445,481,447,482,449,464,433
460,436,468,437,481,445,482,447,464,425
462,436,467,429,482,444,483,445,465,416
462,428,466,423,482,443,483,444,465,409
461,423,465,418,482,441,483,443,464,400
460,418,464,413,483,440,484,442,465,393
459,414,463,409,483,439,484,441,467,385
458,411,462,406,483,438,484,440,467,377
457,408,461,403,484,437,485,439,468,369
456,407,460,401,484,437,485,439,468,361
455,405,459,400,484,436,485,438,468,354
454,404,458,400,484,436,485,438,468,347
454,404,457,399,485,436,486,437,469,340
453,404,457,400,485,436,486,437,469,333
453,404,456,400,486,436,487,438,469,326
453,406,456,401,486,436,487,438,469,320
452,407,456,403,486,437,488,438,470,313
452,410,455,405,487,438,488,439,470,307
