x_position,y_position,x_position,y_position,x_position,y_position
175,403,288,654,317,283
174,411,284,654,317,281
173,420,284,658,318,281
172,428,283,661,319,281
171,438,282,664,320,280
170,448,281,666,321,281
170,458,281,668,322,282
169,468,281,668,323,283
168,479,280,668,324,284
167,490,280,666,325,286
167,502,279,664,326,288
167,513,279,661,326,291
166,524,278,655,327,293
167,533,278,649,328,296
168,543,278,642,329,300
169,552,277,633,330,304
170,561,277,622,331,308
172,571,277,610,333,313
174,582,277,598,334,318
175,593,277,585,335,323
177,605,277,572,336,329
179,616,278,558,337,335
182,627,279,544,338,341
186,636,281,532,339,348
188,645,282,520,340,356
191,653,283,507,341,363
195,661,283,495,343,371
198,667,284,482,344,379
201,672,285,470,345,387
204,677,286,459,346,396
207,680,287,448,348,405
210,683,287,437,348,415
213,685,289,426,350,425
216,685,290,416,351,435
218,686,291,407,352,445
221,685,292,397,354,456
222,684,293,388,356,468
224,682,294,380,357,479
225,680,295,372,358,492
226,677,296,363,359,504
227,673,297,356,360,515
228,668,298,349,359,525
228,663,299,342,358,530
228,657,300,335,357,536
227,649,301,330,356,543
227,641,302,324,355,550
226,632,304,318,353,555
225,621,305,313,353,562
224,609,306,309,352,568
223,596,307,304,349,573
222,581,309,301,347,578
222,581,309,301,347,578
221,567,310,297,344,581
221,554,311,294,340,585
221,542,312,291,336,588
220,529,314,288,332,590
219,517,315,287,328,592
217,505,316,285,323,594
216,493,317,283,318,594
216,481,319,282,313,594
215,469,320,282,306,592
214,457,321,282,301,590
213,446,322,282,296,587
212,435,324,282,291,583
211,426,325,282,285,579
210,415,327,284,279,574
210,406,328,285,273,569
208,396,329,287,266,564
207,388,330,289,263,565
206,379,332,291,261,563
206,371,333,294,258,561
205,364,335,297,252,566
204,356,336,301,255,557
203,349,337,305,255,561
202,342,339,309,253,566
201,336,340,313,251,572
200,330,341,318,250,578
199,325,343,323,249,586
198,320,344,329,247,593
197,315,346,335,246,601
196,311,347,341,244,596
195,307,348,348,245,604
194,304,350,355,253,620
194,300,351,362,248,623
193,298,353,369,242,630
192,295,354,377,242,636
191,293,355,385,246,645
190,292,357,394,246,650
189,290,358,403,243,654
189,289,360,412,244,660
187,289,361,421,244,663
187,289,362,431,245,666
186,289,363,441,244,668
185,289,363,451,244,670
184,290,364,461,243,670
184,292,364,472,243,670
183,293,364,482,243,669
182,295,364,491,242,668
181,298,363,500,242,666
181,300,362,508,242,662
180,304,362,519,242,658
179,307,360,528,242,652
179,311,358,538,242,646
178,315,356,548,242,637
177,319,355,557,242,627
177,324,353,567,242,617
176,330,352,576,242,605
176,335,352,586,242,594
175,341,350,596,241,583
174,348,348,606,239,568
174,354,346,616,237,555
174,361,343,625,235,542
173,369,340,634,233,528
173,376,337,643,235,517
172,384,333,650,232,504
171,393,329,656,231,492
171,402,325,661,230,481
171,411,322,665,229,470
170,420,318,668,227,459
170,430,315,670,226,448
170,441,312,671,226,438
170,451,310,671,224,428
169,462,307,669,224,420
169,473,304,667,223,411
169,484,302,664,222,402
169,496,300,661,221,394
169,506,299,655,220,386
170,514,298,650,219,377
171,521,297,643,218,370
173,528,296,635,217,364
174,536,295,626,216,358
175,542,295,616,216,352
176,548,295,604,214,346
177,553,295,592,213,341
179,559,295,579,212,336
180,566,296,565,211,331
183,572,297,552,210,326
186,578,298,538,209,323
190,583,299,525,208,319
193,587,301,512,207,316
198,590,302,498,206,313
202,591,303,485,205,311
208,591,303,473,204,309
214,590,305,460,203,307
220,588,306,448,202,306
227,585,307,436,201,305
233,580,308,425,200,304
240,577,310,414,200,304
247,573,310,403,199,304
254,571,312,393,198,305
259,569,312,383,197,306
263,567,314,373,196,307
268,566,314,364,195,308
272,566,316,355,194,310
275,567,317,347,193,313
275,571,318,339,192,315
276,570,319,331,191,318
279,576,320,324,191,321
280,583,321,317,190,325
281,587,323,310,189,329
283,593,324,304,188,334
284,598,325,299,187,339
284,603,326,293,186,344
284,609,328,288,185,349
278,590,329,284,185,355
279,597,330,279,183,362
280,603,332,276,183,368
282,610,333,272,182,375
284,615,334,269,181,382
285,621,335,266,181,390
287,628,337,264,180,398
288,634,338,262,179,406
289,639,339,260,178,415
