x_position,y_position,x_position,y_position,x_position,y_position
278,645,216,618,162,217
277,637,218,616,161,220
278,630,219,614,161,223
279,621,220,610,160,226
280,611,221,607,159,230
280,600,223,603,158,234
280,588,225,598,157,238
282,576,228,593,156,243
282,564,230,587,155,248
283,551,233,581,155,254
283,537,239,575,154,260
283,524,246,571,153,266
283,511,249,565,152,272
283,499,252,558,151,280
284,487,253,552,150,287
284,475,255,546,149,295
285,463,257,545,149,304
285,451,259,541,148,312
286,439,261,538,147,321
286,428,262,534,146,331
287,417,264,529,145,340
287,406,265,526,144,350
287,396,268,524,143,360
288,386,267,524,143,371
288,376,266,525,141,382
289,366,265,525,140,394
289,357,262,526,139,406
290,348,259,522,139,418
290,339,255,524,138,431
291,331,259,521,137,444
292,323,259,524,136,457
292,315,262,526,135,470
293,308,263,530,137,487
293,301,264,535,135,500
293,294,267,541,135,515
294,288,266,546,135,528
294,282,272,553,134,540
295,276,273,559,134,550
295,271,272,565,135,561
295,266,258,564,135,570
296,261,259,568,137,578
296,257,260,572,138,588
296,253,261,577,140,599
297,249,266,582,142,607
297,246,266,587,144,617
297,242,266,593,147,626
298,240,267,597,149,635
298,237,267,602,153,644
298,235,268,606,157,653
298,233,268,610,162,659
299,232,268,613,166,664
299,231,268,616,171,668
299,230,266,619,176,672
299,230,267,622,179,675
299,230,267,624,185,677
299,230,266,626,188,678
299,230,266,627,192,678
299,231,266,627,195,678
300,233,265,627,198,677
300,234,265,627,200,675
300,236,264,626,202,673
300,239,264,625,202,671
300,242,263,623,203,669
300,245,262,622,203,666
300,248,261,619,203,662
300,252,261,616,203,657
300,256,260,614,202,652
300,260,259,611,202,645
301,265,258,607,200,636
301,270,257,603,200,627
301,275,254,598,200,617
301,281,253,593,199,606
301,287,251,587,198,594
301,294,249,580,197,580
301,301,245,574,196,565
301,308,243,568,196,554
301,316,240,563,196,541
301,324,237,558,196,529
301,332,234,554,197,516
301,341,230,552,197,502
300,350,227,550,199,491
300,359,225,548,197,475
300,369,224,545,198,463
300,379,222,543,198,451
300,389,219,540,198,439
300,400,218,538,197,428
299,411,215,535,197,416
299,423,213,534,197,406
299,435,213,533,196,395
298,446,214,532,195,385
298,459,215,533,195,375
298,472,216,535,195,366
298,485,216,537,195,356
298,499,216,541,194,348
297,513,217,544,194,339
297,526,217,548,194,331
297,541,217,552,193,323
296,555,216,555,193,316
297,567,217,560,192,309
298,577,216,563,193,302
296,586,216,567,192,296
295,595,217,570,192,289
294,603,217,574,192,284
293,611,217,577,192,278
291,619,216,582,192,273
290,628,215,586,192,269
289,636,214,591,192,265
288,643,212,595,191,260
287,649,213,600,191,257
285,655,212,604,191,253
284,659,212,609,191,250
282,663,211,612,191,248
281,666,211,616,191,246
280,668,211,619,191,244
279,670,211,623,191,242
278,671,210,626,191,240
277,672,211,629,191,240
277,672,211,631,191,239
276,671,211,633,191,238
276,671,211,635,191,238
277,669,212,636,191,239
277,668,213,637,191,239
277,666,213,638,190,240
277,663,214,638,190,241
278,660,215,637,190,242
278,656,216,637,190,244
279,651,216,636,190,246
280,645,218,634,189,249
281,638,219,633,189,252
282,630,220,631,189,255
283,620,221,627,188,258
284,609,222,625,188,262
285,598,224,621,188,266
287,586,225,617,188,270
287,573,227,612,187,275
288,559,230,606,187,280
289,545,232,600,186,285
288,531,235,593,186,291
289,518,238,586,185,297
289,505,242,579,184,303
290,492,246,573,184,309
290,479,250,566,184,316
291,467,253,560,183,323
292,455,255,556,183,331
293,443,258,551,182,337
294,432,260,546,182,345
295,421,262,542,181,354
295,410,265,536,182,363
296,400,266,533,182,371
297,390,265,532,182,380
