ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
0,0,0,0,0,0
175,325,343,575,207,636
170,330,339,584,214,604
165,336,335,593,217,565
160,345,331,600,218,525
155,355,327,606,218,488
150,366,324,609,215,453
144,380,321,611,215,417
139,393,318,611,214,384
133,412,316,610,213,353
129,428,314,608,213,324
123,452,312,606,212,296
118,475,312,603,211,271
113,497,309,599,211,248
107,519,309,596,208,226
105,537,308,592,207,207
106,556,309,588,205,189
108,578,310,585,204,173
110,598,311,582,202,158
112,616,312,579,200,143
116,630,313,576,198,132
121,642,314,572,196,122
126,652,315,570,194,113
132,659,316,567,192,107
139,663,317,564,189,102
146,665,317,562,187,98
152,665,318,561,184,98
159,663,319,560,182,97
165,658,320,559,179,99
171,651,321,559,176,102
177,641,321,560,174,108
182,628,322,564,170,116
188,609,323,567,167,125
194,585,323,573,164,136
200,557,324,580,161,150
208,526,326,589,158,165
215,496,325,598,154,182
222,470,324,611,151,200
226,447,324,624,147,221
231,424,322,638,144,244
237,402,322,652,140,268
243,382,320,665,136,295
249,361,317,676,317,675
254,346,313,685,129,355
259,331,308,691,125,387
265,318,301,695,120,422
270,306,294,697,116,456
275,296,287,697,114,482
281,287,280,695,114,503
285,281,274,689,111,521
290,276,266,681,111,539
295,273,261,670,111,553
299,271,256,655,111,566
304,272,252,634,112,576
308,274,248,606,113,585
312,278,248,573,114,594
317,283,249,534,115,601
321,290,248,496,118,606
325,299,251,463,119,611
329,310,255,431,120,613
333,323,258,399,122,617
337,338,261,369,122,618
340,353,265,341,123,619
344,371,268,316,124,620
348,390,271,292,124,621
351,408,275,269,125,619
354,430,278,247,124,619
356,454,280,228,124,619
357,476,283,211,125,618
358,499,286,195,124,618
357,520,290,181,124,618
363,538,293,168,124,618
360,558,297,158,124,618
354,576,301,148,125,618
345,594,304,141,125,618
334,607,308,135,125,618
323,617,311,131,126,620
312,621,314,128,125,620
303,621,317,127,126,621
294,617,320,127,125,623
284,608,323,129,126,625
275,595,326,133,125,628
268,579,329,139,127,632
260,561,332,146,127,636
252,538,335,155,128,640
243,513,337,166,128,646
235,490,340,178,129,652
233,467,342,192,130,658
224,449,344,208,133,665
221,431,346,225,134,671
215,413,349,244,138,677
209,398,351,265,140,683
203,384,353,288,144,688
198,374,355,313,147,692
193,363,357,340,152,695
187,355,359,368,157,697
182,348,362,398,161,698
177,340,364,429,166,698
172,340,366,463,171,696
165,337,367,493,176,693
159,337,369,508,180,687
154,338,366,522,183,677
147,341,367,535,184,663
141,345,370,549,187,642
135,352,365,563,190,615
128,361,360,577,191,579
122,372,353,589,192,541
114,384,346,597,195,503
108,399,339,604,190,470
101,415,333,609,189,435
94,433,328,612,189,403
87,452,322,613,188,374
