x_position,y_position,x_position,y_position,x_position,y_position
99,233,108,208,238,229
99,232,108,207,238,228
99,232,108,206,239,227
99,231,108,205,236,223
99,231,108,205,240,227
99,231,108,205,239,226
99,231,108,205,238,225
99,230,108,205,239,225
98,230,108,205,237,226
98,230,108,205,237,224
98,230,108,205,237,225
98,230,108,204,237,224
98,230,108,205,236,219
98,230,108,205,236,219
98,230,107,205,238,225
98,230,108,204,238,225
98,230,108,204,239,227
98,229,108,204,238,226
98,229,108,204,239,222
98,229,108,204,239,222
98,229,108,204,239,223
98,229,108,204,239,223
97,229,107,205,240,222
97,230,108,205,237,225
97,229,108,205,234,221
97,230,107,205,238,224
97,230,107,206,234,221
96,230,107,206,235,219
96,231,107,206,239,224
96,231,107,206,235,219
96,231,106,207,235,220
96,231,106,207,235,220
96,232,106,207,236,220
95,232,106,208,236,220
95,232,106,208,235,221
95,233,106,208,239,224
94,233,106,208,240,223
94,234,105,209,236,220
94,234,105,210,238,225
93,235,105,210,235,223
93,235,104,211,239,224
93,236,105,211,239,225
92,236,105,212,238,225
92,236,104,212,238,227
92,237,104,212,239,228
92,237,104,212,239,227
92,237,104,212,239,227
92,238,104,213,240,225
91,238,103,213,237,228
91,238,103,213,237,227
91,238,103,214,237,228
91,238,103,213,237,226
91,239,104,214,237,228
91,239,103,214,238,228
91,239,103,214,238,226
91,239,103,214,238,226
91,239,103,215,239,224
91,239,103,215,239,225
91,240,103,215,240,225
91,240,103,215,240,225
91,240,103,215,236,222
91,240,103,215,236,222
91,240,103,216,237,221
91,240,103,215,239,227
91,240,103,215,239,227
90,240,103,215,240,227
91,240,103,216,239,226
90,240,103,215,237,227
91,240,103,215,238,229
91,240,103,215,239,229
91,240,103,215,240,228
91,240,103,215,237,225
91,240,103,215,240,228
91,240,103,215,237,224
91,240,103,215,237,223
91,240,102,215,236,224
91,240,103,215,237,225
91,239,103,214,241,228
91,239,102,214,241,228
91,239,102,214,241,230
91,239,103,214,241,230
90,238,103,214,241,229
91,238,103,214,237,226
91,238,103,213,237,226
