ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
0,0,0,0,0,0
309,455,187,336,169,657
318,484,184,329,176,645
317,507,180,324,182,630
314,532,176,322,187,610
315,558,173,323,195,582
313,582,170,325,200,550
311,603,166,330,207,517
307,620,163,339,212,488
302,634,159,350,215,461
296,644,155,364,220,436
289,650,152,381,225,413
281,651,147,401,230,393
273,648,143,424,235,377
265,642,140,447,241,363
257,632,140,470,244,351
250,616,137,490,249,341
243,592,139,513,253,335
235,562,138,535,257,331
230,529,134,556,262,330
223,494,133,579,266,331
219,466,135,600,271,335
215,441,135,620,275,341
212,417,139,633,279,351
207,395,144,645,283,363
202,375,148,652,288,377
199,357,154,655,292,395
195,342,161,654,296,416
192,329,168,650,301,438
187,322,176,641,306,461
184,316,184,627,310,489
180,311,191,607,315,516
177,309,198,584,315,538
173,310,205,554,316,561
169,314,209,521,315,584
165,320,220,492,313,603
161,329,221,470,309,620
157,342,223,447,304,634
153,358,228,424,297,643
149,376,233,404,290,649
144,397,239,387,283,650
141,419,244,372,274,649
139,444,249,359,266,643
135,469,254,350,258,633
134,489,260,343,251,617
134,511,264,339,245,593
132,537,269,338,241,563
130,565,273,340,232,532
129,590,278,344,226,501
129,613,283,351,222,474
133,631,288,361,223,449
138,644,293,373,220,427
144,653,298,389,217,406
150,658,304,408,213,388
157,660,309,429,211,372
165,657,315,451,207,359
174,651,321,474,204,349
182,641,331,496,201,342
189,627,336,515,198,337
196,607,335,534,195,334
203,581,336,557,192,333
208,547,335,579,190,337
215,511,331,598,187,343
224,480,329,615,184,351
229,454,323,629,181,362
233,430,317,641,178,376
238,405,310,649,175,393
244,384,302,654,172,414
250,364,293,655,169,437
255,348,284,652,166,462
260,335,276,647,165,488
265,324,267,635,163,510
271,316,258,619,159,529
277,310,252,596,156,551
281,308,245,565,154,575
287,307,238,531,150,597
292,310,229,498,147,618
297,315,227,468,146,637
302,323,218,443,145,652
308,334,215,421,147,661
313,347,210,399,149,667
318,364,205,380,152,670
325,380,199,363,157,670
330,398,194,348,163,666
339,419,189,335,170,660
332,441,185,326,178,649
334,467,181,319,185,634
342,491,177,315,192,613
341,517,173,314,199,587
340,544,169,314,204,557
337,572,164,318,213,523
333,598,160,324,219,492
326,620,155,333,222,465
319,636,150,345,228,440
310,647,145,360,234,415
301,653,140,379,239,395
290,654,135,399,245,377
279,650,131,421,251,361
269,641,129,437,256,349
260,626,126,456,261,337
252,606,124,473,267,330
244,580,121,494,272,326
239,549,125,522,278,323
231,519,124,547,283,324
224,487,127,573,289,328
224,462,127,599,294,335
221,441,130,621,299,344
217,419,134,637,305,355
213,400,141,649,310,370
209,383,147,655,316,388
205,370,155,657,322,409
202,358,163,655,326,432
199,349,172,647,331,456
195,343,180,635,338,482
191,340,187,617,343,505
188,339,193,595,347,530
185,341,198,566,348,555
181,345,204,534,344,579
177,353,210,501,338,602
174,363,215,474,331,622
170,376,215,454,324,638
166,392,220,428,318,650
163,410,224,406,308,657
159,432,228,387,298,660
155,456,233,371,289,660
151,479,237,358,280,655
149,502,241,348,271,645
149,524,245,340,263,630
146,547,249,334,253,608
140,571,253,331,246,579
136,594,256,331,237,545
134,615,260,334,227,513
134,634,263,339,221,482
135,649,267,348,218,453
137,660,270,359,212,426
142,666,273,373,206,402
146,668,277,389,201,381
151,667,281,409,196,362
157,663,284,431,190,347
164,656,288,451,184,335
170,644,294,475,179,324
177,629,296,500,173,317
184,609,295,525,168,312
190,582,296,549,163,310
195,549,298,572,158,311
203,515,298,595,152,315
210,483,295,613,147,321
213,456,290,627,142,329
217,432,286,640,136,341
222,407,281,646,131,355
228,385,274,648,125,372
233,365,267,647,119,393
238,348,259,640,113,416
243,334,251,630,108,442
248,323,244,614,105,467
253,314,238,593,100,486
259,309,232,566,95,504
265,306,229,533,94,526
269,305,218,502,93,550
274,308,212,472,96,573
279,312,214,448,101,595
285,320,209,428,106,616
289,331,206,404,112,634
294,345,202,386,119,647
299,361,199,369,128,655
304,379,195,354,138,658
309,398,192,342,147,656
313,421,189,332,155,651
319,447,186,325,163,641
339,478,183,320,174,627
339,502,180,319,183,606
329,525,177,320,186,579
326,554,174,323,195,550
322,581,171,329,203,517
318,604,168,339,210,488
313,625,166,351,213,460
306,641,163,366,219,434
297,651,159,385,224,412
288,656,155,406,230,391
278,658,151,430,236,372
270,654,148,458,243,358
260,647,145,488,249,345
251,634,142,514,254,336
244,616,141,537,260,329
235,592,137,561,266,325
229,563,134,585,272,323
222,533,132,606,278,324
212,500,132,623,284,328
213,475,134,637,290,335
209,452,137,648,296,345
206,432,141,653,302,358
202,413,145,657,308,374
198,396,151,659,314,391
195,382,157,658,321,412
191,371,163,654,326,436
188,361,170,646,330,460
185,354,176,635,333,487
181,350,183,619,337,509
178,349,189,598,333,533
175,350,196,570,343,558
171,354,201,539,343,582
167,361,207,508,340,604
164,370,213,484,334,623
159,383,214,463,326,638
155,399,220,440,317,649
151,418,225,419,307,657
147,439,230,401,296,660
143,463,235,387,286,659
139,485,240,374,276,655
135,506,246,365,266,646
134,522,251,357,257,631
132,543,256,353,250,610
128,567,261,352,242,583
126,590,265,353,237,550
125,610,270,358,226,519
126,628,275,365,220,489
128,643,280,375,220,463
133,653,286,388,215,440
137,658,291,404,210,418
143,661,296,421,206,399
152,660,302,438,202,383
160,657,307,461,198,370
169,648,315,487,194,360
177,636,317,511,190,352
185,620,320,535,186,346
192,598,323,563,181,343
198,569,325,586,178,341
205,536,325,610,173,344
212,505,324,630,168,350
218,477,322,647,165,356
220,454,318,657,160,368
222,433,311,665,156,380
227,411,303,668,153,397
231,393,294,668,148,417
235,376,285,665,143,441
238,363,273,657,139,465
242,352,262,646,135,488
246,345,253,631,132,509
250,340,244,609,127,531
254,338,241,579,123,555
258,338,231,548,123,578
263,341,222,515,122,600
266,347,215,486,123,620
269,356,216,463,124,635
274,366,207,439,128,647
277,380,202,416,131,655
281,398,197,397,137,660
285,417,191,380,143,662
289,440,187,366,150,660
293,461,181,354,157,654
298,486,177,345,164,642
302,512,172,337,170,628
304,534,167,333,177,609
307,561,164,332,183,583
309,585,160,333,190,553
310,608,155,337,199,520
309,627,150,343,206,492
306,642,145,353,212,465
303,654,140,365,218,440
298,662,135,380,224,417
292,666,130,398,231,398
285,666,124,420,238,381
278,662,120,443,244,366
270,654,115,467,250,355
262,642,112,493,257,346
254,623,108,515,264,340
248,599,107,537,271,337
241,569,104,561,277,336
234,536,103,585,283,338
225,506,105,607,290,342
226,476,109,625,297,349
222,453,115,640,303,359
219,431,122,651,310,373
215,410,130,659,316,388
212,392,140,664,323,407
208,376,151,664,329,428
206,363,160,661,336,451
202,352,168,654,342,480
199,345,179,644,346,507
196,340,186,629,350,535
192,337,194,609,359,559
189,337,202,583,355,581
186,339,208,550,352,604
183,344,217,518,349,623
179,352,223,488,343,639
176,362,225,466,334,653
172,376,233,440,324,661
169,392,239,416,314,666
165,412,245,395,303,668
161,435,251,378,294,665
157,457,258,363,284,660
154,484,263,350,274,650
151,506,269,340,266,637
151,526,274,333,257,616
149,548,280,329,248,587
145,571,286,327,241,555
142,593,292,328,234,518
141,612,297,331,227,490
142,627,303,338,227,460
144,640,309,347,222,433
146,649,315,359,218,409
151,656,321,374,214,388
157,659,327,392,210,369
162,658,332,412,207,354
170,655,338,436,203,340
175,648,344,461,199,329
185,636,349,489,195,321
191,621,356,515,192,315
198,600,360,544,189,311
204,572,362,569,185,311
211,540,360,593,181,313
220,507,356,615,177,319
226,479,349,632,174,327
228,457,339,645,170,337
234,432,327,656,166,350
240,409,316,663,163,367
245,390,304,667,159,386
251,373,292,666,155,409
257,358,279,660,151,434
262,347,267,650,147,462
268,338,257,634,147,487
273,332,249,612,141,509
279,329,240,584,142,529
285,327,238,550,138,549
290,330,229,516,137,570
297,335,221,485,138,591
301,342,219,459,140,612
307,353,215,436,144,629
313,366,211,412,148,643
318,382,206,391,151,653
324,401,201,374,157,659
330,423,197,358,163,662
336,444,193,346,170,660
341,474,189,335,178,654
348,501,186,327,185,644
355,528,182,323,193,630
355,550,178,319,199,610
355,573,174,319,204,586
353,594,171,322,211,555
349,614,167,327,218,520
343,629,163,336,224,489
335,642,158,347,227,465
325,651,154,362,231,438
314,657,149,379,236,414
303,659,144,400,241,394
291,658,140,423,246,375
279,654,136,449,251,360
269,646,132,477,256,349
259,634,130,503,261,338
250,615,129,529,264,333
242,589,124,554,270,329
236,558,119,580,274,327
230,526,117,601,279,328
221,494,119,621,284,332
221,465,121,636,289,339
215,442,126,650,294,348
212,419,131,659,298,361
208,398,137,665,303,376
204,380,145,669,308,394
200,364,155,669,313,415
197,352,165,666,317,438
194,341,175,658,321,464
191,334,184,649,324,491
187,329,193,633,323,517
185,327,201,613,324,541
181,327,208,585,331,565
178,330,213,552,331,587
175,335,221,517,329,606
171,344,228,486,326,622
168,355,231,460,321,637
164,369,237,433,313,646
161,386,243,407,306,652
157,405,249,385,297,655
153,427,256,366,287,652
150,452,262,349,278,648
147,477,267,335,269,640
144,499,272,324,260,627
146,523,277,315,254,609
144,546,283,309,248,587
140,570,288,306,241,555
137,594,294,305,232,525
137,615,299,308,227,494
139,632,305,313,228,464
142,646,311,320,222,442
145,656,316,331,218,420
151,662,322,344,214,401
155,664,328,360,210,384
163,661,333,380,206,369
171,653,339,401,202,358
178,640,344,425,198,348
186,623,349,451,195,341
193,600,354,477,191,338
198,570,363,499,186,337
205,537,365,521,182,338
212,506,363,547,178,343
219,479,359,574,175,351
220,459,353,597,171,360
225,435,345,619,167,372
229,414,336,636,163,387
235,395,326,649,159,406
