x_position,y_position,x_position,y_position,x_position,y_position
164,342,204,498,311,639
164,350,203,485,311,640
163,358,202,472,311,639
163,367,201,460,311,639
163,376,200,447,310,639
163,385,199,435,310,640
162,394,198,424,310,640
162,404,197,412,310,641
162,414,196,401,310,640
162,425,195,391,310,641
162,435,194,380,309,641
161,446,193,371,309,641
161,457,191,362,309,641
161,468,191,352,309,642
161,479,190,344,309,642
161,491,188,336,309,642
161,501,187,328,309,642
161,509,186,320,309,643
162,516,185,313,309,643
163,523,184,306,309,643
164,530,183,300,310,643
164,537,183,293,310,643
166,544,181,288,310,644
167,551,180,282,311,644
169,558,179,277,311,644
171,565,178,273,312,644
174,574,177,268,313,644
176,583,177,264,313,645
179,592,176,261,313,645
181,600,175,258,314,645
184,609,174,255,315,646
186,617,173,252,316,646
188,623,173,250,315,646
191,631,172,248,316,646
194,638,171,247,317,646
197,644,170,246,318,647
200,650,169,245,318,647
203,655,169,245,318,647
206,658,168,245,318,647
209,661,167,245,319,647
211,664,167,246,319,647
213,666,166,247,319,648
215,666,165,248,319,648
216,667,165,249,320,648
216,666,164,251,320,648
217,665,163,254,320,648
218,663,163,256,320,648
218,660,162,259,320,648
218,656,161,262,320,648
218,651,161,266,320,648
217,645,160,270,321,648
217,638,160,274,321,648
215,630,159,279,321,648
215,621,159,284,321,648
215,621,159,284,321,648
213,611,158,289,321,648
213,600,158,295,321,648
212,588,157,301,321,648
213,575,156,307,320,648
211,560,155,314,320,648
210,548,155,321,320,648
208,535,154,328,320,648
207,521,154,336,320,648
205,510,153,344,320,649
204,499,153,352,319,649
203,488,152,361,319,649
202,476,151,370,319,649
201,464,151,379,318,649
200,453,151,389,318,650
199,442,150,399,318,650
198,431,150,409,317,650
197,421,150,420,317,650
197,411,149,430,317,650
196,402,149,442,316,650
195,393,149,454,316,650
195,384,148,466,315,650
194,376,148,477,315,650
193,368,149,489,314,649
192,361,148,502,314,649
192,353,148,513,314,649
191,346,150,524,314,649
190,340,149,534,313,649
189,334,150,542,313,649
188,328,151,550,313,649
188,323,153,559,313,649
187,318,156,566,313,649
186,313,158,574,313,649
185,309,160,582,313,650
184,305,162,591,313,650
184,302,164,599,313,650
183,298,166,609,313,651
182,295,169,617,314,651
181,293,171,625,314,652
181,291,174,633,314,652
180,289,177,640,314,652
179,287,181,647,314,653
178,286,184,653,314,653
178,285,187,658,315,653
177,285,191,663,315,653
176,285,194,666,315,654
176,285,196,670,315,654
175,285,199,672,315,654
174,286,201,674,316,654
174,287,203,675,316,655
173,289,205,675,316,655
172,290,206,675,316,655
172,292,207,675,316,655
171,294,208,674,316,655
171,297,208,672,316,655
170,300,209,669,317,655
169,303,209,667,317,655
169,307,208,662,317,656
168,310,208,657,317,656
168,314,207,651,317,656
