ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y
0,0,0,0,0,0,0,0
470,852,543,953,545,972,456,868
462,799,538,970,541,993,456,832
459,745,536,976,535,1000,440,799
454,701,532,975,528,996,438,802
450,655,524,963,521,986,434,822
445,614,522,950,516,966,412,854
440,582,531,935,514,936,403,886
436,554,532,899,512,880,397,938
432,536,524,858,516,827,402,978
426,512,522,820,516,776,413,1001
422,500,532,810,520,732,426,1010
414,492,542,806,523,685,439,1007
406,492,553,829,525,646,449,996
406,494,557,853,526,610,457,976
398,500,563,886,528,579,462,943
400,504,564,929,531,554,463,889
388,526,558,962,533,533,460,831
386,550,548,979,536,518,458,779
378,572,536,984,539,506,453,729
374,610,523,978,541,501,451,683
368,646,509,965,544,500,447,641
362,696,499,937,546,504,443,604
356,736,494,891,549,514,438,571
354,778,494,835,552,530,434,542
350,822,492,774,553,551,430,519
362,870,500,728,556,576,426,501
372,922,504,670,557,608,422,487
397,967,510,624,560,645,418,479
420,994,516,586,561,687,415,476
442,1003,520,546,563,741,411,477
457,1000,530,514,563,793,408,485
465,982,530,486,562,850,404,497
469,944,536,470,566,900,400,516
469,872,541,454,552,948,397,539
467,800,547,443,539,974,393,568
470,734,553,436,529,985,390,602
462,656,559,435,518,982,386,643
459,592,566,439,505,967,381,688
455,536,571,449,499,937,376,732
449,482,575,465,496,875,369,756
445,431,582,484,494,812,371,765
442,388,588,510,499,723,379,765
438,348,594,544,502,651,402,771
434,312,598,575,503,578,411,764
430,283,602,619,506,513,418,752
426,258,608,666,509,455,426,735
423,239,616,720,511,400,432,720
419,224,616,738,513,352,437,707
415,215,608,748,515,305,443,707
412,210,601,751,517,267,446,696
409,211,589,750,518,231,448,685
405,216,577,744,522,198,451,670
402,227,568,738,524,173,454,647
399,241,551,732,526,154,456,614
396,261,538,731,527,140,454,566
393,286,532,736,530,131,450,518
390,317,526,731,531,126,447,471
386,353,521,724,533,127,443,427
382,393,519,712,535,132,439,386
378,438,513,698,536,142,436,350
374,490,508,678,538,157,432,319
370,537,502,654,540,176,429,292
370,574,495,624,541,201,426,269
364,590,494,579,542,231,422,251
376,608,495,529,544,265,419,237
392,624,497,477,546,302,415,228
407,626,498,429,547,345,412,223
422,635,500,384,548,392,408,223
434,640,503,345,550,445,404,227
443,641,504,309,552,496,400,237
449,634,507,277,549,537,397,250
454,617,508,250,552,563,392,269
456,585,510,227,553,587,388,292
458,540,512,209,548,613,384,320
456,491,514,194,539,634,380,354
456,447,516,185,529,651,376,392
456,406,518,179,520,663,372,436
454,369,520,179,511,667,367,485
453,338,522,182,505,661,362,537
451,310,524,192,502,644,357,567
449,288,527,206,500,614,361,589
447,268,529,225,502,573,369,606
446,253,532,248,502,519,382,618
444,242,534,278,507,475,399,628
442,236,536,312,510,430,418,638
440,234,539,351,512,388,434,646
439,237,541,396,516,351,450,651
437,244,544,447,519,317,464,653
435,256,547,507,523,287,475,648
434,273,553,565,526,262,482,633
433,294,551,596,530,240,486,601
431,322,543,624,534,223,486,556
429,356,540,649,538,211,483,509
428,394,536,665,542,203,480,465
426,438,532,671,547,201,478,423
424,486,529,668,550,203,475,386
419,531,528,656,555,210,473,354
417,555,527,635,559,222,470,326
422,578,528,604,563,239,467,303
430,602,529,562,568,261,464,284
441,625,528,515,572,289,461,270
451,639,527,466,576,322,458,260
463,652,529,421,579,362,454,254
473,660,531,382,584,405,451,253
481,661,533,346,587,454,448,256
488,655,536,315,591,503,444,264
492,640,539,288,591,537,441,278
492,610,542,265,588,580,438,295
492,570,544,247,586,622,434,317
491,527,546,232,576,648,431,343
484,482,548,222,563,675,427,375
480,438,550,216,551,688,424,412
476,398,553,216,538,691,421,453
472,363,555,222,529,683,417,500
467,334,557,232,522,668,413,542
463,308,558,246,518,649,408,565
459,286,561,265,514,621,411,588
454,269,563,288,510,578,417,608
449,257,566,317,511,532,427,626
445,249,568,351,509,484,439,641
440,245,570,390,508,442,452,653
436,246,573,434,508,401,461,660
431,252,575,488,508,366,468,658
426,263,576,532,507,334,472,647
421,278,573,562,507,307,473,623
416,298,572,588,507,284,473,586
411,324,560,617,509,261,469,539
406,354,545,643,509,246,465,495
401,389,530,664,508,235,461,452
395,430,511,676,508,229,457,413
390,479,498,681,508,227,453,378
384,525,487,672,508,230,448,348
381,557,480,653,509,238,444,323
383,585,479,622,509,251,440,301
386,613,481,577,509,269,435,285
392,641,479,530,509,292,430,272
401,666,477,481,507,322,426,263
409,686,477,440,507,356,421,260
417,699,476,402,506,396,416,261
422,703,475,368,506,440,412,266
426,693,475,340,504,487,407,276
429,668,475,315,502,539,402,291
431,614,474,295,499,571,398,310
433,550,473,279,489,596,393,334
435,484,473,268,484,625,389,364
436,414,472,261,475,642,384,398
438,349,472,258,468,649,379,438
439,289,471,261,472,652,375,482
439,234,470,268,460,642,372,529
439,177,470,280,455,629,369,558
440,126,469,296,447,606,369,583
440,81,469,317,440,578,368,607
441,41,468,344,429,547,369,631
442,9,468,375,419,520,374,653
94,38,467,411,412,501,381,671
64,36,467,452,403,483,390,685
54,24,465,501,395,469,398,692
44,36,463,549,387,460,404,688
44,38,459,577,379,455,406,670
44,38,460,603,371,455,405,640
50,34,459,632,363,459,401,599
52,36,456,658,354,468,395,556
52,34,455,681,345,481,389,516
54,32,447,697,337,499,382,481
54,34,443,705,327,523,376,449
58,34,439,703,317,548,369,422
58,34,438,688,304,571,363,398
56,32,432,660,304,592,356,380
54,34,426,623,306,608,349,366
450,36,424,558,311,622,343,356
451,80,411,491,321,633,336,351
450,130,399,420,332,642,329,351
451,185,389,354,343,646,322,355
449,251,378,295,354,643,316,364
450,317,368,239,364,630,308,378
450,391,357,185,371,606,302,397
452,478,347,137,374,568,294,419
450,539,339,96,376,530,287,447
450,562,328,53,375,492,280,481
447,589,316,17,374,457,272,519
438,616,16,18,375,424,265,562
420,645,16,16,375,397,258,607
399,666,16,16,375,374,249,636
379,680,16,18,374,356,247,656
362,684,18,20,374,343,251,668
350,681,18,20,373,333,256,677
343,668,18,20,372,329,260,683
339,645,20,18,372,330,266,687
338,610,20,18,370,336,272,690
341,563,20,18,369,347,279,692
