x_position,y_position,x_position,y_position,x_position,y_position
149,532,233,301,329,540
150,542,233,294,331,551
153,552,232,287,331,569
156,562,232,281,332,580
157,572,232,276,331,591
159,582,231,271,332,602
159,591,231,266,331,611
160,600,230,261,331,619
162,609,230,257,330,629
164,617,230,253,329,636
167,626,229,249,328,643
170,634,229,246,327,648
172,641,229,244,326,653
175,647,228,242,323,657
178,653,228,240,322,660
182,657,228,238,320,663
185,661,228,237,319,665
188,665,228,236,318,665
191,667,227,236,317,666
194,669,227,236,316,667
196,670,227,236,315,666
198,671,227,236,314,665
199,671,226,237,313,663
199,671,226,238,312,662
199,670,226,240,312,658
199,669,226,242,311,654
199,667,226,245,311,650
199,664,226,248,311,645
197,661,226,251,311,638
196,657,226,254,312,630
195,652,226,258,312,621
194,645,226,263,312,611
192,638,226,267,312,600
191,630,225,272,313,589
189,620,226,277,314,574
188,609,226,283,315,563
187,597,226,289,313,548
187,584,226,295,313,534
185,569,226,302,313,521
185,555,226,309,313,509
184,542,226,316,311,496
181,531,226,324,309,480
180,519,226,332,307,468
179,508,226,341,307,456
177,496,225,350,307,443
177,484,226,359,306,431
175,472,227,368,305,420
175,460,227,379,305,409
174,449,227,390,305,399
173,438,227,400,304,389
172,428,227,410,303,379
172,418,227,422,303,369
171,408,228,434,302,360
170,398,228,446,302,352
170,389,229,457,301,343
169,380,229,471,301,335
169,371,229,484,301,327
168,363,230,498,300,320
167,356,230,512,299,313
167,348,230,526,299,306
167,341,231,538,298,299
166,334,232,552,298,294
165,327,233,564,297,288
165,322,235,576,297,282
164,316,236,588,297,277
164,311,235,600,296,273
163,306,236,609,296,269
163,301,236,618,296,265
162,296,238,626,295,261
162,292,240,632,295,258
161,289,241,639,295,255
161,286,243,645,294,252
161,283,244,650,294,250
160,280,246,655,294,248
160,278,248,658,293,246
159,276,250,661,293,245
159,275,251,663,293,244
158,274,253,666,292,244
157,273,255,668,292,244
157,273,257,668,292,244
157,273,258,668,292,244
156,273,258,667,291,245
156,274,259,666,291,247
155,275,259,663,291,248
155,276,259,661,291,250
154,278,259,657,291,252
154,280,259,653,291,254
153,283,259,647,291,257
153,286,258,640,290,260
152,289,258,632,290,264
152,292,256,623,290,268
151,296,255,614,290,272
151,300,254,602,290,277
150,305,254,590,290,281
150,310,253,576,290,286
149,316,253,562,290,292
149,322,253,548,290,298
148,328,253,534,290,304
148,334,253,520,290,311
147,341,253,507,290,318
147,348,253,493,290,325
