x_position,y_position,x_position,y_position,x_position,y_position
304,399,409,331,202,672
305,387,411,341,203,673
305,375,414,350,204,673
306,363,416,360,204,673
306,352,418,370,204,673
306,341,420,381,205,674
307,330,422,392,205,674
307,320,424,403,206,674
308,309,426,415,206,674
309,300,428,426,206,673
309,290,430,438,206,673
310,281,432,451,207,673
310,273,434,463,207,673
311,265,436,476,207,673
312,257,436,487,207,673
313,249,437,498,206,672
314,242,437,508,206,672
314,234,437,520,206,671
315,228,438,530,206,671
316,222,437,539,206,671
316,216,436,550,206,670
317,210,435,560,205,670
318,206,433,569,205,670
319,201,430,580,205,670
320,196,426,590,204,669
320,192,423,601,204,669
321,189,419,610,204,669
322,185,414,620,204,669
322,183,408,629,203,669
323,180,403,638,203,668
324,178,397,647,202,668
324,177,392,655,202,668
325,175,385,662,202,667
326,174,379,669,201,667
327,173,372,673,201,666
328,173,365,678,201,666
328,173,358,681,200,666
329,174,352,684,200,665
330,175,345,686,200,665
331,176,339,687,200,664
332,177,332,686,199,664
332,179,326,685,199,663
333,182,321,683,199,663
334,185,316,681,199,663
335,187,312,678,199,662
336,191,309,673,199,662
337,195,306,668,199,661
338,199,303,661,199,661
339,204,301,653,199,661
340,209,299,644,198,660
341,214,298,632,199,660
341,220,298,620,199,659
343,227,297,605,199,659
343,233,296,591,199,659
345,241,297,575,199,658
346,248,297,559,199,658
347,256,297,543,199,658
348,264,299,527,199,658
349,273,300,512,200,658
350,282,300,497,200,658
351,292,300,482,200,657
352,302,301,467,200,657
353,313,301,452,201,657
354,324,302,437,201,657
355,335,303,423,201,657
356,347,303,410,201,657
357,360,304,396,201,657
358,373,304,384,201,657
359,385,305,371,201,657
360,399,306,359,201,657
361,414,306,347,201,657
363,428,307,335,201,657
363,443,308,324,201,657
365,458,309,313,202,657
365,474,310,303,202,657
366,489,311,292,202,657
368,506,312,283,202,657
368,521,313,274,202,657
368,537,314,265,202,657
369,552,315,256,202,657
369,566,316,248,202,657
369,579,317,240,202,657
369,591,318,233,202,657
370,603,319,226,202,657
369,614,320,219,202,658
369,624,321,213,202,658
369,633,323,206,202,658
368,641,324,201,202,658
368,649,325,195,202,659
365,656,326,191,202,659
364,663,328,186,202,659
360,669,329,182,202,659
357,674,330,178,202,660
352,679,331,175,203,660
349,683,333,171,203,660
344,686,334,169,202,660
340,688,335,166,203,660
336,691,337,164,203,660
332,692,338,163,203,661
328,693,339,162,203,661
325,693,341,161,203,661
321,693,342,160,203,660
318,692,344,160,203,660
315,691,345,160,203,660
312,690,347,160,203,660
310,688,348,161,203,660
308,685,350,163,203,660
306,682,351,164,203,660
304,678,353,166,204,660
303,674,355,169,204,660
302,668,356,172,204,660
301,661,358,175,204,660
300,653,359,178,204,660
300,644,361,182,204,660
299,634,363,186,204,660
299,621,365,191,204,660
299,607,366,196,204,660
300,591,368,201,204,660
300,576,370,207,205,660
301,560,372,214,205,660
301,544,373,221,205,660
302,529,375,228,205,660
305,514,377,235,206,660
305,498,379,243,206,660
305,483,381,252,206,661
307,469,383,260,206,661
308,455,384,270,206,661
309,440,386,279,207,661
310,426,388,289,207,661
310,411,390,299,207,661
311,398,392,310,207,661
312,384,394,322,207,661
313,371,396,334,208,661
314,358,398,346,208,661
315,345,400,359,208,661
316,333,402,372,208,661
317,321,403,385,208,661
318,310,405,399,208,661
319,299,407,414,208,661
320,288,409,428,208,661
321,277,410,444,208,661
322,267,412,459,208,661
323,258,413,474,208,661
324,248,414,490,208,661
325,240,415,505,208,661
326,231,415,520,208,661
327,223,416,534,208,661
328,215,417,549,208,661
329,208,416,561,208,661
330,201,416,574,208,661
331,194,414,588,208,661
332,187,413,601,208,661
334,181,410,613,207,661
335,176,407,624,207,661
336,171,403,636,207,661
337,166,398,646,207,661
339,161,393,655,207,661
340,157,387,664,206,661
341,154,381,671,206,662
343,150,375,677,206,662
344,147,369,683,206,662
345,145,362,686,206,662
347,143,356,688,205,662
348,141,350,690,205,662
350,139,344,691,205,662
352,138,339,691,204,662
353,138,334,690,204,663
355,137,329,689,204,663
357,137,326,688,204,663
358,138,322,687,203,663
360,138,320,684,203,663
362,140,318,681,203,663
363,141,316,678,203,663
365,143,314,673,202,664
367,145,314,667,202,663
369,148,313,661,202,664
371,151,313,653,202,664
373,155,312,644,202,664
375,159,311,631,202,665
377,163,311,619,202,665
379,168,311,605,202,665
382,173,311,590,202,665
384,179,311,574,202,665
386,185,312,557,203,665
388,191,313,541,203,666
390,198,313,525,203,666
393,206,313,510,203,666
395,214,312,495,204,666
397,222,313,480,204,666
400,230,313,465,204,666
402,240,313,450,204,667
404,249,313,435,204,667
407,259,313,421,205,667
409,270,314,408,205,667
411,280,314,395,205,667
414,292,314,381,205,667
416,305,315,368,205,667
419,317,315,356,205,667
421,330,315,344,205,667
424,344,315,332,205,667
426,358,316,321,205,667
428,372,316,310,205,667
431,387,317,300,205,667
433,402,317,289,205,667
436,418,318,279,205,667
438,434,319,269,205,667
440,451,319,261,205,667
442,467,320,252,205,666
442,482,321,243,205,666
442,497,321,235,204,666
442,511,322,227,204,666
442,524,323,220,204,666
442,537,324,213,203,665
442,551,325,206,203,665
440,564,325,200,203,665
438,575,326,194,202,665
435,588,327,189,202,665
431,600,328,184,202,665
427,612,329,179,201,665
422,623,330,174,201,665
417,634,331,170,200,665
411,644,331,167,200,665
404,654,332,164,199,665
398,662,333,161,199,665
390,670,334,158,198,666
383,676,335,156,198,666
376,682,337,154,198,666
369,686,338,153,197,666
362,689,338,151,197,667
355,692,340,151,196,667
349,694,341,151,196,667
343,696,342,151,196,667
338,696,343,151,195,667
333,696,344,152,195,667
329,695,346,154,195,667
325,693,347,155,195,667
322,691,348,157,195,667
320,689,349,160,195,667
318,686,350,163,195,668
315,682,352,166,195,668
314,677,353,170,195,668
313,671,354,174,195,668
312,664,356,179,195,668
312,655,357,183,195,668
311,645,358,189,195,668
311,634,360,195,195,668
312,622,361,201,196,669
312,607,363,208,196,669
313,591,364,215,196,669
314,575,365,223,197,669
315,559,367,231,197,670
316,544,369,240,197,670
318,528,370,249,198,670
319,512,372,259,198,670
320,497,372,268,199,670
320,482,374,279,199,670
322,468,376,290,200,671
322,454,377,302,200,671
324,440,379,313,201,671
325,425,381,326,201,671
326,411,382,339,202,671
327,398,384,352,202,671
328,385,386,366,203,671
329,372,387,381,203,670
330,360,389,395,203,670
331,348,391,411,204,670
332,337,392,427,204,669
334,326,394,443,205,669
335,315,395,460,205,669
336,304,396,477,206,668
337,294,398,493,206,668
338,285,398,509,207,668
339,275,398,523,207,668
340,267,399,538,207,667
341,258,398,552,207,666
342,250,399,565,208,666
343,242,398,576,208,666
344,235,398,586,208,665
346,228,398,596,208,665
347,222,397,606,208,664
348,215,395,616,208,664
349,210,392,625,208,664
350,205,388,634,208,664
351,199,383,642,208,663
352,195,378,650,209,663
354,191,374,656,208,663
355,187,369,663,208,663
356,183,364,669,208,663
357,180,359,675,208,663
359,178,354,680,207,663
360,175,349,683,207,663
361,173,344,687,207,663
363,172,340,689,206,663
364,171,335,691,206,663
366,170,331,692,206,663
367,170,328,692,205,663
368,170,325,692,205,663
370,170,323,692,205,663
371,171,320,691,204,663
373,172,319,688,204,663
375,174,317,686,204,663
376,176,317,683,204,663
377,178,316,679,203,663
379,181,316,674,203,664
381,184,315,669,203,664
383,187,315,661,203,664
384,191,315,652,203,665
386,195,315,643,203,665
388,200,315,632,203,665
390,205,315,619,203,666
392,211,315,605,203,666
393,217,315,589,203,666
395,223,316,574,203,666
397,230,315,557,203,666
399,237,317,541,203,667
401,245,318,525,203,667
403,253,319,511,204,668
405,261,317,496,204,668
407,270,318,483,204,668
409,280,319,469,204,668
411,289,319,454,205,668
413,300,320,439,205,668
415,311,320,426,205,668
417,322,321,412,206,668
419,334,321,399,206,668
422,346,323,386,206,668
424,359,323,374,206,668
426,371,324,362,206,668
428,385,324,350,207,668
430,398,326,339,207,668
432,413,327,328,207,668
434,427,327,317,207,668
436,442,329,307,207,668
437,456,330,296,208,667
438,471,331,287,208,667
438,483,332,277,208,666
439,496,333,269,208,666
439,509,334,260,208,666
439,521,335,252,208,665
439,531,337,243,208,665
437,541,337,236,207,664
